,rota,atributo 1,atributo 2,correlação,correlação absoluta
35,adc,deaths,totalDamageTaken,0.5136172508543636,0.5136172508543636
215,adc,totalDamageDealt,trueDamageDealt,0.5119567193614614,0.5119567193614614
549,sup,visionScore,visionWardsBoughtInGame,0.5119000979227455,0.5119000979227455
1270,top,physicalDamageDealt,trueDamageDealtToChampions,0.5057877273690918,0.5057877273690918
788,mid,totalDamageTaken,trueDamageTaken,0.49799965361961085,0.49799965361961085
346,sup,kills,physicalDamageDealt,0.4974039632265879,0.4974039632265879
1064,jg,totalDamageTaken,trueDamageTaken,0.4961526229733767,0.4961526229733767
1377,top,visionScore,visionWardsBoughtInGame,0.49242873063782183,0.49242873063782183
311,sup,deaths,totalDamageTaken,0.48494352833968307,0.48494352833968307
765,mid,totalDamageDealt,totalMinionsKilled,0.48419795450935577,0.48419795450935577
1153,top,goldEarned,neutralMinionsKilled,0.48222093732758353,0.48222093732758353
453,sup,physicalDamageDealtToChampions,totalMinionsKilled,0.4781848795789663,0.4781848795789663
107,adc,magicDamageDealt,physicalDamageDealt,-0.4743731949838345,0.4743731949838345
274,adc,visionScore,wardsPlaced,0.4743381737180103,0.4743381737180103
878,jg,goldEarned,physicalDamageDealt,0.4736327521216459,0.4736327521216459
436,sup,physicalDamageDealt,totalDamageDealtToChampions,0.47225678830214307,0.47225678830214307
683,mid,magicalDamageTaken,totalHeal,0.4698541717670914,0.4698541717670914
140,adc,neutralMinionsKilled,physicalDamageDealt,0.4642994159857833,0.4642994159857833
601,mid,goldEarned,neutralMinionsKilled,0.4616875687402019,0.4616875687402019
1155,top,goldEarned,physicalDamageDealtToChampions,0.4520699284008337,0.4520699284008337
741,mid,physicalDamageTaken,totalHeal,0.4511173941278996,0.4511173941278996
718,mid,physicalDamageDealt,trueDamageDealtToChampions,0.4508993044581164,0.4508993044581164
502,sup,totalDamageDealtToChampions,trueDamageDealtToChampions,0.44664657423442217,0.44664657423442217
508,sup,totalDamageTaken,totalMinionsKilled,0.44503575570101556,0.44503575570101556
1379,top,visionWardsBoughtInGame,wardsPlaced,0.4437263477715926,0.4437263477715926
1284,top,physicalDamageDealtToChampions,trueDamageDealtToChampions,0.4407326432203548,0.4407326432203548
746,mid,physicalDamageTaken,trueDamageTaken,0.43934620397624996,0.43934620397624996
487,sup,totalDamageDealt,totalDamageTaken,0.4369113499546215,0.4369113499546215
1283,top,physicalDamageDealtToChampions,trueDamageDealt,-0.4348249586945155,0.4348249586945155
1077,jg,totalMinionsKilled,trueDamageDealt,0.43447769403750514,0.43447769403750514
1269,top,physicalDamageDealt,trueDamageDealt,-0.4330444334923059,0.4330444334923059
1215,top,magicDamageDealt,totalDamageDealt,0.42999023147090737,0.42999023147090737
1101,jg,visionScore,visionWardsBoughtInGame,0.4299500141591233,0.4299500141591233
1314,top,totalDamageDealt,totalDamageDealtToChampions,0.42994275574348956,0.42994275574348956
173,adc,physicalDamageDealtToChampions,totalDamageDealt,0.4263494771948868,0.4263494771948868
1218,top,magicDamageDealt,totalHeal,0.42436080294280837,0.42436080294280837
1165,top,goldEarned,trueDamageDealtToChampions,0.42433583412581277,0.42433583412581277
435,sup,physicalDamageDealt,totalDamageDealt,0.4240702522649638,0.4240702522649638
325,sup,goldEarned,neutralMinionsKilled,0.4232460306641956,0.4232460306641956
231,adc,totalDamageTaken,totalHeal,0.4226222495989788,0.4226222495989788
1222,top,magicDamageDealt,trueDamageDealtToChampions,-0.42036461525948954,0.42036461525948954
236,adc,totalDamageTaken,trueDamageTaken,0.41628044409799664,0.41628044409799664
1335,top,totalDamageTaken,totalHeal,0.4133537901342929,0.4133537901342929
345,sup,kills,neutralMinionsKilled,0.4126577317375262,0.4126577317375262
277,sup,assists,goldEarned,0.4118500543875798,0.4118500543875798
1307,top,timeCCingOthers,totalTimeCrowdControlDealt,0.41178129146096576,0.41178129146096576
587,mid,deaths,totalDamageTaken,0.41159722005417543,0.41159722005417543
1175,top,kills,physicalDamageDealtToChampions,0.41018602122595205,0.41018602122595205
31,adc,deaths,physicalDamageTaken,0.4096904176154347,0.4096904176154347
462,sup,physicalDamageTaken,totalDamageDealt,0.408374151089863,0.408374151089863
337,sup,goldEarned,trueDamageDealtToChampions,0.40746461062858846,0.40746461062858846
160,adc,physicalDamageDealt,totalDamageDealtToChampions,0.4073700443850216,0.4073700443850216
446,sup,physicalDamageDealt,wardsPlaced,-0.4067503737671597,0.4067503737671597
1278,top,physicalDamageDealtToChampions,totalDamageDealtToChampions,0.40440708394525693,0.40440708394525693
669,mid,magicDamageDealt,trueDamageDealt,0.4037992459076083,0.4037992459076083
323,sup,goldEarned,magicDamageDealt,0.40343996858262643,0.40343996858262643
1167,top,goldEarned,visionScore,0.39634986193029664,0.39634986193029664
987,jg,physicalDamageDealt,totalDamageDealt,0.39632035175180685,0.39632035175180685
63,adc,goldEarned,visionScore,0.3950368363836452,0.3950368363836452
275,adc,visionWardsBoughtInGame,wardsPlaced,0.3940689730482217,0.3940689730482217
466,sup,physicalDamageTaken,totalMinionsKilled,0.3925747858224579,0.3925747858224579
1267,top,physicalDamageDealt,totalMinionsKilled,0.39196432319842717,0.39196432319842717
975,jg,neutralMinionsKilled,totalHeal,0.39144611202218416,0.39144611202218416
470,sup,physicalDamageTaken,trueDamageTaken,0.39068952709251453,0.39068952709251453
203,adc,timeCCingOthers,totalTimeCrowdControlDealt,0.3889065388178872,0.3889065388178872
307,sup,deaths,physicalDamageTaken,0.38710987900863125,0.38710987900863125
606,mid,goldEarned,totalDamageDealt,0.3860240408624639,0.3860240408624639
1083,jg,totalTimeCrowdControlDealt,trueDamageDealt,0.3850986133558543,0.3850986133558543
449,sup,physicalDamageDealtToChampions,totalDamageDealt,0.3834045620487029,0.3834045620487029
357,sup,kills,trueDamageDealtToChampions,0.38167804352974244,0.38167804352974244
431,sup,neutralMinionsKilled,wardsPlaced,-0.3803685870610583,0.3803685870610583
1076,jg,totalMinionsKilled,totalTimeCrowdControlDealt,0.37717624004672834,0.37717624004672834
1072,jg,totalHeal,trueDamageTaken,0.37652981483591613,0.37652981483591613
444,sup,physicalDamageDealt,visionScore,-0.3737763784945902,0.3737763784945902
116,adc,magicDamageDealt,totalTimeCrowdControlDealt,0.3731404955349422,0.3731404955349422
1340,top,totalDamageTaken,trueDamageTaken,0.3729732719767472,0.3729732719767472
421,sup,neutralMinionsKilled,totalDamageDealtToChampions,0.37092548684421345,0.37092548684421345
886,jg,goldEarned,totalMinionsKilled,0.36916390564048573,0.36916390564048573
670,mid,magicDamageDealt,trueDamageDealtToChampions,-0.3691281727453821,0.3691281727453821
968,jg,neutralMinionsKilled,physicalDamageDealt,0.3678758568433475,0.3678758568433475
1103,jg,visionWardsBoughtInGame,wardsPlaced,0.3662435804876778,0.3662435804876778
456,sup,physicalDamageDealtToChampions,trueDamageDealtToChampions,0.36608270986032415,0.36608270986032415
460,sup,physicalDamageDealtToChampions,wardsPlaced,-0.3653180147637522,0.3653180147637522
