,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
20999,210168141,12,18,117,"{'20-30': 6.3, '10-20': 7.7, '0-10': 7.6}","{'20-30': -2.0000000000000004, '10-20': -2.1999999999999993, '0-10': 0.19999999999999973}",210168141,KR,8536,4743,12529,"{'20-30': -417.5, '10-20': -409.2, '0-10': -189.70000000000005}","{'20-30': 987.9, '10-20': 208, '0-10': 465.4}",5,0,False,False,True,False,False,False,1524465385141,1996,3182472435,8.8.225.6906,14229,"{'20-30': 440, '10-20': 428.9, '0-10': 307.2}",13400,UNRANKED,0,3040,1058,3916,3100,3027,3158,3363,1,4,MIDDLE,0,2,1,729,156013,12832,9044,11,/v1/stats/player_history/KR/210168141,36,4,29,0,8200,8300.0,19225,1528,9545,0,420,SOLO,11,0,4,12,66800153,장심 는않 지슬녹,26,329435,14576,21019,4038,244,0,0,895,1,0,154197,216,2430,1,0,28,4,3,18,True,"{'20-30': 138.39999999999998, '10-20': 31.299999999999983, '0-10': -59.10000000000002}","{'20-30': 647.9, '10-20': 493.79999999999995, '0-10': 445.2}",Mage,Lulu,5,4,Support,5,7,mid,0.24489795918367346,0.2777777777777778,0.24464426945428286,0.21052631578947367,0.15903141361256545,0.3782041647475213,0.22630367330597537,0.6206896551724138,0.13597431164109855,0.0797827903091061,0.17261958585767248,0.18309859154929578,0.3814640224083408,0.18657757638595548,0.20228081994033298,0.07291045988841341,0.3398328690807799,0.1989773232547799,0.4978786469836104,0.12356979405034325,0.2810223198797271,0.11155378486055777,0.11764705882352941,0.125,0.27906976744186046,0.2777777777777778,0.36855707106963387,0.13793103448275862,0.3334858188472095,0.36087055079061076,0.18965718419640148,0.15384615384615385,0.03608142067674076,0.019606585143649033,0.14190608982541583,0.12037037037037036,0.5257423183626466,0.12964135813733804,0.17436635744058332,0.0685510567863509,0.5218340611353712,0.056948332909137186,0.5068618330873482,0.007504951183072166,0.1378566971123844,0.1360544217687075,0.13333333333333333,0.1440677966101695
23526,6965193,2,15,26,"{'20-30': 9.2, '10-20': 10.2, '0-10': 8.2}","{'20-30': 0.19999999999999973, '10-20': 0.09999999999999876, '0-10': -1.1999999999999997}",6965193,KR,973,372,14553,"{'20-30': -709.7, '10-20': 234.2, '0-10': -33.8}","{'20-30': 893.1, '10-20': 599, '0-10': 134.5}",4,0,False,False,False,False,False,False,1524507125837,1808,3183183176,8.8.225.6906,10361,"{'20-30': 388.1, '10-20': 321.79999999999995, '0-10': 274.5}",10075,CHALLENGER,0,3040,3060,1058,1058,3020,1082,3340,0,0,MIDDLE,0,0,0,883,135260,11817,8632,11,/v1/stats/player_history/KR/6965193,7,1,5,0,8200,8000.0,12966,355,8022,0,420,SOLO,11,0,4,12,10080249,뽀오뽀오,13,153477,12172,17205,6197,276,0,0,499,3,0,5250,0,550,0,0,31,1,3,14,False,"{'20-30': -350.1, '10-20': -110.9, '0-10': 54.10000000000002}","{'20-30': 371.4, '10-20': 481.6, '0-10': 543.3}",Mage,Zilean,6,2,Support,5,8,mid,0.05555555555555555,0.21052631578947367,0.19996140113866642,0.0,0.28585302686953706,0.6601365564161505,0.24796759644939817,0.4117647058823529,0.052362490913496484,0.01259088490867175,0.1334819794335918,0.08280254777070063,0.32507291408528566,0.18621301594100909,0.17771924387976448,0.16283897414336768,0.3660477453580902,0.36423357664233574,0.26773420368198275,0.0,0.2897787144362487,0.14485981308411214,0.038461538461538464,0.13861386138613863,0.046511627906976744,0.2222222222222222,0.1834410145967935,0.0,0.4039341262580055,0.3128672014507638,0.18004247275442814,0.029914529914529916,0.023897906864930207,0.004555194846855633,0.11199701498399482,0.06018518518518518,0.23791319880653267,0.10383546056657042,0.13008394385166436,0.10520329343858756,0.5917030567685589,0.03175108170017816,0.01725730477057646,0.0,0.03120213309128042,0.1564625850340136,0.03333333333333333,0.11016949152542373
27929,2335390,20,17,26,"{'20-30': 7.199999999999999, '10-20': 6.5, '0-10': 6.300000000000001}","{'20-30': 1.6, '10-20': 0.09999999999999964, '0-10': 0.30000000000000027}",2335390,KR,4496,986,6629,"{'20-30': -404.6000000000001, '10-20': -146.09999999999997, '0-10': 211.8}","{'20-30': 715, '10-20': 693, '0-10': 396.5}",7,0,False,False,False,False,False,False,1524635549251,1816,3184248259,8.8.226.7254,13430,"{'20-30': 583.1, '10-20': 419.5, '0-10': 279.6}",10600,PLATINUM,0,1056,3027,3040,3135,1082,3158,3340,2,7,MIDDLE,0,4,1,290,138345,15564,6142,11,/v1/stats/player_history/KR/2335390,9,0,9,0,8200,8300.0,10714,1389,11655,0,420,SOLO,11,0,4,12,3024109,Republic123,28,250631,17178,18069,11917,200,0,0,545,4,0,101572,224,271,0,0,20,2,0,15,True,"{'20-30': 452, '10-20': -8.300000000000011, '0-10': -54}","{'20-30': 851.3, '10-20': 463, '0-10': 430.59999999999997}",Mage,Zilean,6,2,Support,5,8,mid,0.31746031746031744,0.2,0.2306331679002593,0.3181818181818182,0.1303956834532374,0.41241246910893625,0.1265322098844276,0.23076923076923078,0.04394099094850037,0.06104421200668014,0.12542102941018218,0.16568047337278108,0.25132163184430817,0.18455290667067759,0.12320920813075764,0.2904177023931374,0.25806451612903225,0.057598816317903194,0.2430202149981936,0.03674540682414698,0.0523267039969106,0.09569377990430622,0.06451612903225806,0.12396694214876033,0.46511627906976744,0.3888888888888889,0.3303182579564489,0.2413793103448276,0.13266239707227814,0.32000305326560635,0.12193414389395814,0.038461538461538464,0.019514255626042625,0.017823001809246404,0.1833428251605428,0.12962962962962962,0.39683606836264657,0.15757269985078953,0.14011540828292446,0.2023088023088023,0.425764192139738,0.03467803512344108,0.3338778971727604,0.007782912338000764,0.01537414194133999,0.08163265306122448,0.06666666666666667,0.11864406779661017
4151,7253077,9,18,26,"{'20-30': 9.7, '10-20': 9.9, '0-10': 7.7}",,7253077,KR,5224,1936,11832,,"{'20-30': 452.5, '10-20': 158.1, '0-10': 317.6}",2,0,False,False,True,False,False,True,1524992995615,2058,3188370026,8.8.226.7254,15094,"{'20-30': 462.29999999999995, '10-20': 468.9, '0-10': 250.2}",13175,PLATINUM,1,3040,3135,3060,3151,3111,1082,3340,1,2,MIDDLE,0,2,1,317,214653,12958,5393,11,/v1/stats/player_history/KR/7253077,20,2,10,0,8300,8200.0,13511,294,6082,0,420,DUO,11,0,4,14,10472198,xiaozhanshen,32,379285,13252,11753,4066,327,0,0,727,2,0,151120,0,277,2,0,29,3,3,21,True,,"{'20-30': 525.7, '10-20': 625.7, '0-10': 436.29999999999995}",Mage,Zilean,6,2,Support,5,8,mid,0.23684210526315788,0.11764705882352941,0.241295520670141,0.14285714285714285,0.07128401169327636,0.5308974799725961,0.17137500397216307,0.4,0.05999529309372516,0.015764075067024128,0.12401867824881221,0.24615384615384617,0.48310652455241143,0.2216906167924118,0.14213154998730212,0.1903914590747331,0.35123523093447906,0.07684177148292992,0.9713892692082715,0.0,0.12723932016536518,0.13122171945701358,0.1,0.1810344827586207,0.20930232558139536,0.1111111111111111,0.40995453457765013,0.06896551724137931,0.14501372369624885,0.4965095622727399,0.1044549718793027,0.08547008547008547,0.024958781609687637,0.003772471225283256,0.07389878439150842,0.14814814814814814,0.6072861050041876,0.1154287922539369,0.06678354561181483,0.06902639843816315,0.7030567685589519,0.04625858997200306,0.49674740893895514,0.0,0.015714528847790322,0.14285714285714285,0.1,0.1694915254237288
28885,206878233,13,18,26,"{'30-end': 5.4, '20-30': 5.8, '10-20': 7.3, '0-10': 7.9}",,206878233,KR,5903,3228,10658,,"{'30-end': 127.2, '20-30': 797.4000000000001, '10-20': 671.4, '0-10': 195.3}",8,0,False,False,False,False,False,False,1525512886605,2283,3194766194,8.9.228.4283,14724,"{'30-end': 315.6, '20-30': 296.20000000000005, '10-20': 428.4, '0-10': 331.79999999999995}",13600,CHALLENGER,0,3089,2065,3158,3040,3135,1029,3364,2,6,MIDDLE,0,3,1,458,171012,15647,7749,11,/v1/stats/player_history/KR/206878233,8,0,4,0,8200,8400.0,11158,710,13285,0,420,SOLO,11,0,4,12,41381113,Megalia,33,193595,18010,21452,10326,245,0,0,488,3,0,11424,1651,418,3,0,29,4,8,12,True,,"{'30-end': 670.2, '20-30': 502.79999999999995, '10-20': 428.20000000000005, '0-10': 507}",Mage,Zilean,6,2,Support,5,8,mid,0.14942528735632185,0.1951219512195122,0.18985236283927534,0.15384615384615385,0.18045705279747834,0.6712486311021443,0.1229141551931984,0.25,0.02293072692747166,0.013933863212638602,0.17648621720358684,0.14285714285714285,0.24968884819016052,0.1571690374378218,0.14610789862623702,0.3443951572557783,0.2668845315904139,0.32620320855614976,0.3362175525339926,0.11390920380847247,0.049176470588235294,0.0926517571884984,0.11764705882352941,0.06521739130434782,0.3023255813953488,0.4444444444444444,0.39224694903086865,0.20689655172413793,0.20951509606587373,0.395564437782774,0.15943618585330563,0.03418803418803419,0.02037852789516611,0.009110389693711266,0.21535319416350818,0.1527777777777778,0.30353754449329984,0.1665038590766126,0.17939370014745323,0.17529921059332823,0.5240174672489083,0.031051158055484855,0.037551895180774376,0.05736423334838956,0.023713621149373122,0.14285714285714285,0.13333333333333333,0.09322033898305085
27521,239695,9,16,497,"{'20-30': 4.5, '10-20': 8.7, '0-10': 5.4}","{'20-30': -4.8999999999999995, '10-20': -0.9000000000000008, '0-10': -1.0999999999999996}",239695,KR,2864,1235,23229,"{'20-30': -56.400000000000034, '10-20': -41.499999999999986, '0-10': 32.099999999999994}","{'20-30': 833.9, '10-20': 587.6, '0-10': 360.1}",6,0,False,True,False,False,False,False,1525693375120,2006,3197605441,8.9.228.4283,12419,"{'20-30': 364.5, '10-20': 431.4, '0-10': 315.9}",12075,MASTER,0,3152,3157,3158,1058,1082,3285,3340,1,4,MIDDLE,0,2,1,461,97156,10449,14144,11,/v1/stats/player_history/KR/239695,20,4,16,0,8100,8300.0,24233,1138,6983,0,420,SOLO,11,0,14,4,1130167,Sim Student,26,275157,12219,22644,10950,193,0,0,201,5,0,153767,632,1515,0,0,46,1,6,35,False,"{'20-30': -200.3, '10-20': -155.10000000000002, '0-10': -57.200000000000045}","{'20-30': 496.5, '10-20': 502.7, '0-10': 413.59999999999997}",Support,Rakan,5,2,Support,4,8,mid,0.17647058823529413,0.17647058823529413,0.16640761088034303,0.09523809523809523,0.19650468883205457,0.3837958482292757,0.2605699968681491,0.06369426751592357,0.0435226925770937,0.020342861228794622,0.1033079859159097,0.2708333333333333,0.2652251151143143,0.11664025659138204,0.17769477054429028,0.24983458440758402,0.2403486924034869,0.07502799552071669,0.6758751340612198,0.08409846972721224,0.27282549972987574,0.2062780269058296,0.05,0.4166666666666667,0.20930232558139536,0.3333333333333333,0.2819334769083513,0.13793103448275862,0.2108874656907594,0.22472960094743757,0.30867424330820753,0.08547008547008547,0.045829788973520955,0.014602286579497773,0.09159285952750339,0.12037037037037036,0.43695528423366836,0.1043399851862984,0.1932334057053954,0.18589253883371532,0.4104803493449782,0.01278951387121405,0.5054483776489963,0.0219589312393593,0.0859476938787088,0.2585034013605442,0.03333333333333333,0.288135593220339
18606,208102903,14,18,117,"{'20-30': 9.6, '10-20': 8, '0-10': 7.3}","{'20-30': -2.2, '10-20': -2.6999999999999997, '0-10': -0.40000000000000036}",208102903,KR,6549,4365,12087,"{'20-30': -609.8, '10-20': -171.29999999999998, '0-10': -170.6}","{'20-30': 446.6, '10-20': 432.20000000000005, '0-10': 229}",4,0,False,False,False,False,False,False,1525719436399,2094,3197940157,8.9.228.4283,15937,"{'20-30': 479.6, '10-20': 443.2, '0-10': 283.5}",14100,MASTER,1,3504,3060,3089,3117,3285,1082,3364,1,6,MIDDLE,0,3,1,505,124635,6522,5965,11,/v1/stats/player_history/KR/208102903,8,0,8,0,8200,8100.0,18090,798,7183,0,420,SOLO,11,0,14,4,49650767,husband Lick me,19,146838,8852,14011,395,291,0,0,727,1,0,4112,1531,863,4,0,43,6,5,30,True,"{'20-30': -180.09999999999994, '10-20': -23.30000000000001, '0-10': 7.5}","{'20-30': 572.5, '10-20': 561.5, '0-10': 423.5}",Mage,Lulu,5,4,Support,5,7,mid,0.2222222222222222,0.11764705882352941,0.249015625,0.2857142857142857,0.1686143572621035,0.4663924979044426,0.10400864849784659,0.16666666666666666,0.08028011502822452,0.03515728257996299,0.09147055827220864,0.12666666666666668,0.2852923976040086,0.12195861232812542,0.09785037852333994,0.014058440402889989,0.4064245810055866,0.40433815350389324,0.18588671398218887,0.2688323090430202,0.1181059258245518,0.15867158671586715,0.1875,0.19230769230769232,0.32558139534883723,0.2222222222222222,0.45029911462072264,0.20689655172413793,0.23101555352241537,0.2882907263996447,0.11780355184243074,0.03418803418803419,0.033872076024814735,0.010239564754340267,0.09552051216590404,0.08796296296296297,0.22705323492462312,0.06819670019429565,0.09300003483147372,0.006705712588065529,0.6244541484716157,0.04625858997200306,0.0135165785174496,0.05319481602446058,0.048958983377772734,0.23809523809523808,0.2,0.2457627118644068
5521,209070922,18,16,497,"{'20-30': 7.9, '10-20': 5.5, '0-10': 5.9}",,209070922,KR,3838,2830,30140,,"{'20-30': 965.7, '10-20': 735.8, '0-10': 464.4}",4,0,False,False,False,True,False,False,1525880638628,1952,3199776174,8.9.228.4283,13469,"{'20-30': 427.9, '10-20': 384.7, '0-10': 318.4}",12025,PLATINUM,1,3157,3152,2065,2033,3285,3158,3340,1,5,MIDDLE,0,3,1,525,91364,16295,7267,11,/v1/stats/player_history/KR/209070922,16,4,12,0,8300,8400.0,19844,1700,15803,0,420,SOLO,11,0,14,4,56951349,댕 체,33,262536,18809,26902,9516,200,0,0,376,5,0,151327,814,3830,3,0,45,3,15,18,True,,"{'20-30': 610.5999999999999, '10-20': 415.2, '0-10': 425.6}",Support,Rakan,5,2,Support,4,8,mid,0.3157894736842105,0.12903225806451613,0.20230102584899143,0.17857142857142858,0.15012868172719473,0.39136096499494544,0.22101581508515816,0.07174887892376682,0.03575605018532099,0.026530994444097632,0.19284650867644546,0.2462686567164179,0.2693862222454803,0.18009210942062984,0.22174231996109495,0.2641645615301335,0.24154589371980675,0.23979591836734693,0.8130134152827847,0.1312479845211222,0.5901386748844376,0.20270270270270271,0.09375,0.1836734693877551,0.4186046511627907,0.2222222222222222,0.33218473318975833,0.1724137931034483,0.24016468435498628,0.21133224155957106,0.14818790693332712,0.06837606837606838,0.03728634079968544,0.021813609125787534,0.2648023408809725,0.1527777777777778,0.4163100659547739,0.17508077761198837,0.242670877404823,0.16154825566590272,0.425764192139738,0.0239246627640621,0.49742783981276645,0.028282547513984922,0.21728030861746184,0.25170068027210885,0.1,0.1440677966101695
