,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
14906,210160161,11,18,3,"{'30-end': 9.4, '20-30': 3.0999999999999996, '10-20': 6.4, '0-10': 7.9}",,210160161,KR,1443,1443,45811,,"{'30-end': 870.2, '20-30': 974, '10-20': 923.0999999999999, '0-10': 453.7}",5,0,False,False,True,False,False,False,1521355060922,2252,3148322441,8.5.220.3006,13457,"{'30-end': 480.8, '20-30': 272.9, '10-20': 288.20000000000005, '0-10': 351.4}",12275,UNRANKED,0,3111,3040,3001,1082,3151,3191,3363,1,4,TOP,0,2,1,413,153501,20046,6240,11,/v1/stats/player_history/KR/210160161,20,0,16,0,8400,8300.0,4989,653,25189,0,420,DUO,11,0,4,12,66460322,DogRabbitCat,66,308652,20862,32317,5104,234,0,0,228,1,0,150162,162,887,1,0,26,1,5,12,True,,"{'30-end': 843, '20-30': 393.2, '10-20': 403.20000000000005, '0-10': 475.5}",Mage,Galio,5,1,Tank,10,6,top,0.23404255319148937,0.1724137931034483,0.21355910685096727,0.19047619047619047,0.1416323731138546,0.4408718579109416,0.10354096837354396,0.47619047619047616,0.020380567992418053,0.01965032650236225,0.27403474798463867,0.264,0.2881791750463567,0.2069417027903701,0.20675337636830085,0.17358182560195892,0.2650056625141563,0.08056537102473499,0.3141004455414479,0.07212822796081923,0.21544814185086228,0.09386281588447654,0.025,0.0736196319018405,0.2558139534883721,0.2777777777777778,0.3316104331179708,0.13793103448275862,0.1889295516925892,0.355060093818525,0.12422113836316538,0.08547008547008547,0.008370204408177885,0.00837899221125839,0.44912707920111544,0.3055555555555556,0.4917458385678392,0.1971188423843619,0.3055416874687968,0.08664799253034547,0.5,0.014507508271824891,0.49359836170653376,0.005628713387304124,0.05032053100357406,0.12244897959183673,0.03333333333333333,0.09322033898305085
14907,209926144,8,17,50,"{'30-end': 6.2, '20-30': 7.1, '10-20': 6.3, '0-10': 6.699999999999999}",,209926144,KR,2512,1571,25768,,"{'30-end': 1609.2, '20-30': 993.1, '10-20': 1160.9, '0-10': 467.59999999999997}",8,1,False,False,True,False,False,False,1521355060922,2252,3148322441,8.5.220.3006,14142,"{'30-end': 456.4, '20-30': 382.7, '10-20': 301.6, '0-10': 243.6}",12200,UNRANKED,0,2033,3157,3111,3027,3136,3116,3340,2,6,TOP,597,3,2,657,155750,29400,12681,11,/v1/stats/player_history/KR/209926144,6,0,5,0,8200,8300.0,16851,3219,24317,0,420,DUO,11,0,4,12,65490954,King BradIey,54,326994,33306,38089,13671,239,0,0,579,1,0,154392,686,1090,0,0,37,2,6,17,True,,"{'30-end': 645, '20-30': 495.79999999999995, '10-20': 408.6, '0-10': 440.5}",Fighter,Swain,8,2,Mage,6,9,top,0.1702127659574468,0.27586206896551724,0.22442987954866456,0.2857142857142857,0.22530864197530864,0.4473312347778135,0.21041715063219726,0.14285714285714285,0.0688380339226772,0.09686738286539677,0.26454813477083083,0.216,0.305304553883041,0.33038061322673123,0.24368070527871433,0.46493674330023127,0.2706681766704417,0.20459363957597174,0.3229485221829439,0.3054318788958148,0.2647558902113189,0.13357400722021662,0.05,0.10429447852760736,0.18604651162790697,0.4444444444444444,0.36439339554917444,0.20689655172413793,0.30054894784995423,0.3602622107493454,0.27453268301789924,0.02564102564102564,0.03146028921976069,0.04130471045641769,0.43200251369768855,0.25,0.5217493718592965,0.3306997863821291,0.3725574429054093,0.2320855614973262,0.5109170305676856,0.036841435479765844,0.5075028186931125,0.023835169035127342,0.061836954671810294,0.19727891156462585,0.06666666666666667,0.13559322033898305
24862,210103985,3,18,24,"{'30-end': 0.6, '20-30': 9.399999999999999, '10-20': 10.5, '0-10': 7.7}","{'30-end': -9, '20-30': 0.4999999999999991, '10-20': 2.6000000000000005, '0-10': 0.40000000000000036}",210103985,KR,18702,6315,41984,"{'30-end': -1169.2, '20-30': -124.09999999999991, '10-20': -233.50000000000006, '0-10': -145.4}","{'30-end': 1558.2, '20-30': 1108.7, '10-20': 798.9, '0-10': 407.1}",5,0,False,True,False,False,False,False,1521355552922,2131,3148333982,8.5.220.3006,15350,"{'30-end': 263, '20-30': 519.8, '10-20': 462.1, '0-10': 365.3}",15158,UNRANKED,0,3111,3153,3194,2060,3156,3078,3340,1,6,TOP,0,4,1,1193,45454,5461,13166,11,/v1/stats/player_history/KR/210103985,29,4,9,0,8300,8400.0,163571,15729,17442,0,420,SOLO,11,0,12,4,66242600,애플무무,17,215482,22369,34744,2595,279,0,0,100,1,0,6457,1178,4134,2,0,35,3,4,23,False,"{'30-end': -735.4, '20-30': 60.400000000000034, '10-20': 63.00000000000003, '0-10': 87.60000000000002}","{'30-end': 171.4, '20-30': 681.1, '10-20': 571, '0-10': 502.1}",Assassin,Jax,5,7,Fighter,5,7,top,0.05263157894736842,0.17857142857142858,0.2192105563806695,0.1935483870967742,0.35129564193168433,0.10096513732937949,0.19470570837030465,0.5178571428571429,0.6798575204907812,0.6552657890351609,0.27152152931286777,0.07488986784140969,0.2973313831548736,0.2023757825788007,0.24933976346308417,0.04669701822893236,0.29935622317596566,0.034782608695652174,0.19032600365501384,0.11588785046728972,0.5526737967914439,0.15086206896551724,0.14285714285714285,0.20353982300884957,0.06976744186046512,0.2777777777777778,0.4222062694424503,0.20689655172413793,0.5457456541628545,0.10513873853868858,0.2858509719726494,0.12393162393162394,0.31705944986344886,0.2018272105526542,0.2969894542526659,0.0787037037037037,0.3393399288107203,0.213295833914789,0.33372034970799613,0.04405398523045582,0.5982532751091703,0.006362942224484602,0.021224841314973753,0.040929780063236165,0.23452657854427866,0.1836734693877551,0.1,0.1864406779661017
24866,4735341,9,18,31,"{'30-end': 9.6, '20-30': 8.9, '10-20': 7.8999999999999995, '0-10': 7.3}","{'30-end': 9, '20-30': -0.4999999999999991, '10-20': -2.6000000000000005, '0-10': -0.40000000000000036}",4735341,KR,1007,1007,55471,"{'30-end': 1169.2, '20-30': 124.09999999999991, '10-20': 233.50000000000006, '0-10': 145.4}","{'30-end': 2727.4, '20-30': 1232.8, '10-20': 1032.4, '0-10': 552.5}",4,0,False,False,False,False,False,False,1521355552922,2131,3148333982,8.5.220.3006,15816,"{'30-end': 753.4, '20-30': 461.7, '10-20': 376.1, '0-10': 273.8}",15700,DIAMOND,0,3115,3800,3060,3075,3194,3111,3340,2,10,TOP,30,6,1,654,130498,15756,20738,11,/v1/stats/player_history/KR/4735341,0,0,0,0,8400,8000.0,36994,3909,21773,0,420,SOLO,11,0,12,4,6390203,파이팅야소년,94,188646,25958,43189,10411,289,0,0,1769,1,0,21153,6292,677,1,0,26,2,5,15,True,"{'30-end': 735.4, '20-30': -60.400000000000034, '10-20': -63.00000000000003, '0-10': -87.60000000000002}","{'30-end': 906.8, '20-30': 620.7, '10-20': 508, '0-10': 414.5}",Mage,Chogath,5,3,Tank,7,7,top,0.15789473684210525,0.14285714285714285,0.22586541757111847,0.3225806451612903,0.19257950530035337,0.289869945245949,0.306684412895593,0.0,0.15375982975610566,0.16284785869021828,0.33894268190167814,0.41409691629955947,0.2603019097030577,0.23484601744291245,0.3099451716614996,0.18734591783484192,0.31008583690987124,0.615304347826087,0.6235040971526263,0.6189867191342843,0.09050802139037434,0.11206896551724138,0.09523809523809523,0.13274336283185842,0.20930232558139536,0.2222222222222222,0.44450825556353196,0.3448275862068966,0.2991765782250686,0.3018523144678528,0.46255629973629553,0.0,0.07066983047416235,0.05015846945453146,0.3820427721372322,0.4351851851851852,0.2954420540201005,0.2518221926425282,0.43177094822881956,0.17674221203632967,0.6200873362445415,0.1125604479511326,0.0695321462499055,0.2186164483513429,0.03840698927781245,0.12244897959183673,0.06666666666666667,0.11864406779661017
14890,1337260,6,17,164,"{'20-30': 8.399999999999999, '10-20': 7.7, '0-10': 6.3}","{'20-30': 1.2999999999999994, '10-20': 3.5, '0-10': -0.8999999999999999}",1337260,KR,17513,15097,28871,"{'20-30': 145.10000000000008, '10-20': -458, '0-10': 111.79999999999998}","{'20-30': 896.6, '10-20': 882.5, '0-10': 563.7}",7,0,False,False,False,True,False,True,1521357962505,1968,3148402268,8.5.220.3006,15097,"{'20-30': 610.8, '10-20': 514.6, '0-10': 257.5}",15488,DIAMOND,2,3026,3053,3074,0,3111,3078,3340,2,8,TOP,0,3,1,521,1229,1229,13885,11,/v1/stats/player_history/KR/1337260,12,5,1,0,8200,8400.0,153603,20572,16953,0,420,SOLO,11,0,12,4,2932177,Luubaby,27,187014,30846,31381,3528,224,0,0,182,1,0,32181,9043,542,5,0,26,3,2,18,True,"{'20-30': 173.90000000000003, '10-20': 303.5, '0-10': -40.29999999999998}","{'20-30': 691.1, '10-20': 670.5999999999999, '0-10': 403.9}",Tank,Camille,4,8,Fighter,6,3,top,0.1276595744680851,0.2413793103448276,0.2556170738727756,0.32,0.19893088965253913,0.003891802198915742,0.23868871622086227,0.34285714285714286,0.6854002775459936,0.5626452971583294,0.26077526534379325,0.1134453781512605,0.2490992472970759,0.31485469893537754,0.2332171496094592,0.09915961662778605,0.265717674970344,0.0937178166838311,0.1526192982955354,0.8475164011246485,0.04766092156173057,0.11659192825112108,0.09375,0.12949640287769784,0.13953488372093023,0.3888888888888889,0.41009810959559706,0.27586206896551724,0.23833485818847208,0.0028427753259129725,0.30263004363958834,0.05128205128205128,0.29765614810979374,0.26397033349158894,0.2873863435517763,0.125,0.29277245603015073,0.30429275309423875,0.29467426766826504,0.059893048128342244,0.4781659388646288,0.011580554848561976,0.10578234758512782,0.3142003405024148,0.03074828388267998,0.12244897959183673,0.1,0.1440677966101695
14895,6293499,12,15,14,"{'20-30': 7.1, '10-20': 4.2, '0-10': 7.199999999999999}","{'20-30': -1.2999999999999994, '10-20': -3.5, '0-10': 0.8999999999999999}",6293499,KR,0,0,43422,"{'20-30': -145.10000000000008, '10-20': 458, '0-10': -111.79999999999998}","{'20-30': 751.5, '10-20': 1340.5, '0-10': 451.90000000000003}",7,0,False,False,False,False,False,False,1521357962505,1968,3148402268,8.5.220.3006,10107,"{'20-30': 343.4, '10-20': 281.29999999999995, '0-10': 275.9}",10225,MASTER,0,3193,3800,1029,3194,0,3111,3364,0,2,TOP,0,0,1,448,64628,7001,10560,11,/v1/stats/player_history/KR/6293499,1,0,1,0,8300,8400.0,36473,10468,15700,0,420,SOLO,11,0,12,4,9054348,미곤개 나갈꼬냐,81,105584,17867,31472,14694,187,0,0,1173,1,0,4482,397,5212,0,0,32,9,5,17,False,"{'20-30': -173.90000000000003, '10-20': -303.5, '0-10': 40.29999999999998}","{'20-30': 517.2, '10-20': 367.1, '0-10': 444.2}",Fighter,Sion,5,5,Tank,9,3,top,0.2553191489361702,0.2413793103448276,0.1711281556356987,0.08,0.17105765559373806,0.2046536961037645,0.18153063329436842,0.02857142857142857,0.16274815155260658,0.28630035828569866,0.2415013074911552,0.3403361344537815,0.14063596803776435,0.1823740162704529,0.23389344292753256,0.41299643047865314,0.22182680901542112,0.6040164778578785,0.021256011154426203,0.037207122774133086,0.4583186774533943,0.14349775784753363,0.28125,0.1223021582733813,0.27906976744186046,0.3888888888888889,0.17128499641062456,0.06896551724137931,0.20494053064958828,0.14948973455093864,0.22503558843434227,0.004273504273504274,0.06965567314935754,0.1343205060757317,0.26277959977219617,0.375,0.15957063965661641,0.16496881608467426,0.29573082237109455,0.24945250827603768,0.39737991266375544,0.07463731229320437,0.014732807615566418,0.013793822313331712,0.2956827594031883,0.16326530612244897,0.3,0.13559322033898305
24810,210168045,14,18,41,"{'30-end': 10.2, '20-30': 8.3, '10-20': 10.3, '0-10': 6.199999999999999}",,210168045,KR,10937,6552,22160,,"{'30-end': 1335.2, '20-30': 1601.4, '10-20': 839.4000000000001, '0-10': 583.8}",9,0,False,False,True,False,False,False,1521375611406,2128,3148944198,8.5.220.3006,17754,"{'30-end': 501.8, '20-30': 471.1, '10-20': 666.7, '0-10': 287.3}",15808,UNRANKED,1,3086,3142,3031,3078,3053,3047,3340,2,6,TOP,1317,2,1,428,13744,5458,16593,11,/v1/stats/player_history/KR/210168045,6,0,3,0,8300,8200.0,301851,24789,20014,0,420,DUO,11,0,12,4,66840154,to my memories,21,336914,34253,37791,9899,302,0,0,889,1,0,21318,4005,1184,1,0,40,2,7,17,True,,"{'30-end': 556.6, '20-30': 631.7, '10-20': 643.7, '0-10': 385}",Fighter,Gangplank,9,7,Fighter,6,4,top,0.19444444444444445,0.2727272727272727,0.2597626816100195,0.24,0.12715389185977422,0.05387057578489397,0.35717668331324265,0.1875,0.6157623208154922,0.5305637601130089,0.23351924019321868,0.12280701754385964,0.362622873890193,0.3633268276125419,0.2756776866738642,0.42101905410003404,0.3540445486518171,0.26062738199941365,0.11600811915347485,0.6576354679802956,0.24055262088581877,0.18181818181818182,0.09523809523809523,0.14912280701754385,0.32558139534883723,0.5,0.5372577171572146,0.20689655172413793,0.19579139981701738,0.03179097158612522,0.36582576836013164,0.02564102564102564,0.5862296511571321,0.3180809156583219,0.3474990671824984,0.09722222222222222,0.5379763400335008,0.34086542074132914,0.36909751651592376,0.16805025040319158,0.648471615720524,0.05656655637566811,0.07007451868555219,0.13915430318612973,0.0671696828728655,0.21768707482993196,0.06666666666666667,0.13559322033898305
24811,3398251,10,18,134,"{'30-end': 3, '20-30': 9.2, '10-20': 8.8, '0-10': 7.5}",,3398251,KR,5190,2602,10599,,"{'30-end': 700.6, '20-30': 613.4, '10-20': 595.7, '0-10': 257.5}",5,2,False,False,True,False,False,False,1521375611406,2128,3148944198,8.5.220.3006,15383,"{'30-end': 390.8, '20-30': 557.8, '10-20': 455.4, '0-10': 242.8}",14750,DIAMOND,0,3116,3135,1058,3285,3151,3020,3364,2,7,TOP,0,2,2,614,177168,20184,7035,11,/v1/stats/player_history/KR/3398251,19,11,8,0,8300,8200.0,11192,471,13438,0,420,DUO,11,0,4,7,4413173,비o수,42,345305,20981,20656,1799,272,0,0,632,1,0,156945,325,183,0,0,21,4,3,10,True,,"{'30-end': 379, '20-30': 717.9000000000001, '10-20': 578.0999999999999, '0-10': 421.7}",Support,Syndra,8,2,Mage,3,9,top,0.1388888888888889,0.15151515151515152,0.2250720587589799,0.28,0.18241235888294713,0.6944224512993376,0.15143361460306526,0.59375,0.022831171321502957,0.010080904070887376,0.15679182320957694,0.24561403508771928,0.37165416536164453,0.22254868683440113,0.15068133407253947,0.07651412044913236,0.31887456037514655,0.18528290823805335,0.8540620255437711,0.053366174055829226,0.037180008126777735,0.09545454545454546,0.19047619047619047,0.08771929824561403,0.23255813953488372,0.2777777777777778,0.423785594639866,0.2413793103448276,0.2808783165599268,0.4098037582923918,0.1427737975776528,0.0811965811965812,0.020444710906765657,0.006043652881321135,0.2183578484318847,0.19444444444444445,0.5517021958752094,0.19839625578324763,0.1701517491205053,0.030540701128936424,0.5829694323144105,0.040213794858742685,0.5158947994701185,0.011292171918974324,0.010381800646735122,0.08843537414965986,0.13333333333333333,0.07627118644067797
24815,204395791,6,18,150,"{'30-end': 3.6, '20-30': 7.3999999999999995, '10-20': 7.4, '0-10': 7.5}",,204395791,KR,5103,988,28452,,"{'30-end': 1135.6, '20-30': 1168.2, '10-20': 1129.8, '0-10': 395}",6,1,False,False,False,False,False,False,1521375611406,2128,3148944198,8.5.220.3006,14185,"{'30-end': 334.2, '20-30': 358.4, '10-20': 504.7, '0-10': 332.6}",14160,DIAMOND,0,3053,1033,3071,3047,3022,3046,3363,3,9,TOP,491,3,2,827,22785,2711,8551,11,/v1/stats/player_history/KR/204395791,7,0,3,0,8200,8400.0,163798,18713,26116,0,420,SOLO,11,0,12,4,27973206,spacecarry,45,189362,21463,36972,1665,241,0,0,1114,1,0,2779,39,2305,0,0,21,0,1,14,False,,"{'30-end': 539.8, '20-30': 499.9, '10-20': 652.5999999999999, '0-10': 500.1}",Tank,Gnar,8,6,Fighter,5,5,top,0.08333333333333333,0.18181818181818182,0.2075438570822421,0.36,0.24569221628045157,0.08930741190765493,0.18406664370587222,0.21875,0.3341404753502092,0.40051795727922607,0.304716122558514,0.2631578947368421,0.20381163337111172,0.22766133480419196,0.26970324764378045,0.0708149030282409,0.2825322391559203,0.32659044268542947,0.015122739615700658,0.0064039408866995075,0.4683055668427468,0.09545454545454546,0.0,0.12280701754385964,0.13953488372093023,0.3333333333333333,0.36645130413974636,0.3103448275862069,0.37831655992680696,0.052703527909623335,0.17815220181559357,0.029914529914529916,0.3175013187938341,0.24011651033580125,0.4673317491801025,0.20833333333333334,0.29661327470686766,0.20357031677705378,0.3595885241904585,0.02826585179526356,0.5152838427947598,0.07088317638075846,0.009134866658558474,0.0013550606302769187,0.1307653032280025,0.08843537414965986,0.0,0.11016949152542373
24771,7060492,4,17,114,"{'20-30': 7.5, '10-20': 7.6, '0-10': 6}","{'20-30': -2.0999999999999996, '10-20': -0.3999999999999999, '0-10': -2.9}",7060492,KR,3665,1114,38660,"{'20-30': 304.5, '10-20': -147.39999999999998, '0-10': 280}","{'20-30': 1739.1999999999998, '10-20': 734.2, '0-10': 634.0999999999999}",7,1,False,False,False,False,False,False,1521449590697,2065,3149436645,8.5.220.3006,12216,"{'20-30': 452.1, '10-20': 372.7, '0-10': 234.39999999999998}",11608,DIAMOND,0,1055,3074,1011,3082,3078,3047,3340,1,4,TOP,465,2,2,949,1405,505,12345,11,/v1/stats/player_history/KR/7060492,20,12,3,0,8000,8400.0,139278,11505,24185,0,420,SOLO,11,0,12,4,10075062,똥과니,11,148333,17894,37197,10641,231,0,0,144,9,0,7648,5883,667,0,0,29,3,2,19,False,"{'20-30': -86.50000000000006, '10-20': -67.69999999999999, '0-10': -23.700000000000017}","{'20-30': 624.7, '10-20': 468.6, '0-10': 446}",Assassin,Fiora,3,10,Fighter,4,2,top,0.0625,0.2692307692307692,0.1843173348220348,0.13793103448275862,0.22834456207892204,0.00670420384597032,0.3886475255005667,0.3125,0.37747477457700157,0.25347551168785387,0.23703812604136038,0.05612244897959184,0.24132724861914406,0.18061247148596,0.2606639056488742,0.3851388034311774,0.2627986348122867,0.06414253897550111,0.2118148835405877,0.6921176470588235,0.0749185667752443,0.10583941605839416,0.07894736842105263,0.11875,0.09302325581395349,0.3888888888888889,0.27221823402727924,0.13793103448275862,0.4341262580054895,0.0032498774067597452,0.26669155912347436,0.08547008547008547,0.2697716880755732,0.1476268076424621,0.42941026295634416,0.05092592592592592,0.2294987306323283,0.1652586493768584,0.36220088471943246,0.18064680417621595,0.49344978165938863,0.009162636803257827,0.02513978416864167,0.20440568430561828,0.037839677767061895,0.14285714285714285,0.1,0.15254237288135594
24778,205036558,13,18,150,"{'20-30': 9.6, '10-20': 8, '0-10': 8.9}","{'20-30': 2.0999999999999996, '10-20': 0.3999999999999999, '0-10': 2.9}",205036558,KR,9866,5105,33224,"{'20-30': -304.5, '10-20': 147.39999999999998, '0-10': -280}","{'20-30': 1434.6999999999998, '10-20': 881.5999999999999, '0-10': 354.1}",3,0,False,False,False,False,False,False,1521449590697,2065,3149436645,8.5.220.3006,15176,"{'20-30': 514, '10-20': 409.29999999999995, '0-10': 281.79999999999995}",14700,DIAMOND,0,3071,3143,3075,1029,3047,3022,3340,2,6,TOP,471,3,1,938,17197,4934,3713,11,/v1/stats/player_history/KR/205036558,8,4,0,0,8200,8400.0,174644,26170,22573,0,420,SOLO,11,0,12,4,30932025,엔터키를제거했다,55,194661,31911,31607,1744,284,0,0,1403,1,0,2819,806,5321,1,0,38,4,7,18,True,"{'20-30': 86.50000000000006, '10-20': 67.69999999999999, '0-10': 23.700000000000017}","{'20-30': 711.2, '10-20': 536.3, '0-10': 469.7}",Tank,Gnar,8,6,Fighter,5,5,top,0.203125,0.11538461538461539,0.22897837862305173,0.20689655172413793,0.22569778633301252,0.08205850073960967,0.11689333837048231,0.125,0.4733246064075149,0.5765714159818458,0.22123885131823973,0.28061224489795916,0.3166996119774508,0.32209257726547835,0.2214910897611089,0.06312208187049839,0.323094425483504,0.6249443207126949,0.07807350375273493,0.09482352941176471,0.5976637088621813,0.1386861313868613,0.10526315789473684,0.1125,0.3023255813953488,0.16666666666666666,0.41387891840153146,0.20689655172413793,0.42909423604757546,0.03977803684273832,0.06524935240717836,0.03418803418803419,0.33861369949408926,0.3358012651893293,0.3977533826908348,0.25462962962962965,0.305281289258794,0.3157250662859474,0.29729823868847893,0.029606994312876667,0.6091703056768559,0.08927207940951896,0.009266350885381913,0.02800458635905632,0.30186645487036934,0.20408163265306123,0.13333333333333333,0.1440677966101695
14853,6871634,10,17,75,"{'20-30': 4.9, '10-20': 9.2, '0-10': 8.5}","{'20-30': -0.10000000000000009, '10-20': 0.9000000000000004, '0-10': 0.39999999999999947}",6871634,KR,13504,7437,50989,"{'20-30': 599.8, '10-20': 281.69999999999993, '0-10': 127.50000000000001}","{'20-30': 2393, '10-20': 1380.8, '0-10': 378.8}",4,2,False,False,False,False,False,False,1521451393148,1825,3149490167,8.5.220.3006,13890,"{'20-30': 469.9, '10-20': 512.4, '0-10': 302.7}",13113,MASTER,0,3111,3800,1011,3065,3078,3082,3340,2,6,TOP,0,4,2,1060,59698,9687,20495,11,/v1/stats/player_history/KR/6871634,10,4,3,0,8300,8400.0,102827,16617,21032,0,420,SOLO,11,0,4,7,9880524,Hou TaNa,20,166924,26551,42578,2594,229,0,0,161,1,0,4398,246,1050,1,0,35,4,4,14,True,"{'20-30': 148.79999999999998, '10-20': 162.80000000000004, '0-10': -21.400000000000034}","{'20-30': 551.4, '10-20': 628.3, '0-10': 463.29999999999995}",Tank,Nasus,6,7,Fighter,5,6,top,0.17857142857142858,0.15384615384615385,0.25857254551546965,0.5,0.2980039359010402,0.19082171157147104,0.4488808094966928,0.3333333333333333,0.6751697330234147,0.763473466574776,0.2367268838989251,0.12048192771084337,0.351004392706719,0.30588004884680076,0.3114248098303101,0.0618635377167251,0.3252840909090909,0.18089887640449437,0.42227556409025446,0.3655274888558692,0.4751131221719457,0.1650943396226415,0.12903225806451613,0.11764705882352941,0.23255813953488372,0.2222222222222222,0.35233309404163676,0.20689655172413793,0.484903934126258,0.1380862501272194,0.45688548691979186,0.042735042735042736,0.19881765996336576,0.2132216134371832,0.36749081911195774,0.09259259259259259,0.25990957391122277,0.2581877905042026,0.42467693808125023,0.0440370087428911,0.4890829694323144,0.010244336981420209,0.014456690739237193,0.008547305514054412,0.05956770862880808,0.1836734693877551,0.13333333333333333,0.11016949152542373
14859,879245,7,15,8,"{'20-30': 5, '10-20': 8.3, '0-10': 8.1}","{'20-30': 0.10000000000000009, '10-20': -0.9000000000000004, '0-10': -0.39999999999999947}",879245,KR,3654,344,16255,"{'20-30': -599.8, '10-20': -281.69999999999993, '0-10': -127.50000000000001}","{'20-30': 1793.2, '10-20': 1099.1, '0-10': 251.3}",8,0,False,False,False,False,False,False,1521451393148,1825,3149490167,8.5.220.3006,9948,"{'20-30': 306.9, '10-20': 364.20000000000005, '0-10': 268.5}",10000,DIAMOND,0,3135,3152,3191,3136,3108,3158,3340,0,0,TOP,710,0,0,717,129801,21959,8114,11,/v1/stats/player_history/KR/879245,16,1,7,0,8300,8200.0,12542,943,25450,0,420,SOLO,11,0,4,14,1412967,daydayupup,5,142343,22903,33931,23959,214,0,0,111,1,0,0,0,366,0,0,16,2,1,10,False,"{'20-30': -148.79999999999998, '10-20': -162.80000000000004, '0-10': 21.400000000000034}","{'20-30': 402.6, '10-20': 465.5, '0-10': 484.70000000000005}",Tank,Vladimir,7,2,Mage,6,8,top,0.125,0.3076923076923077,0.18518932201496704,0.0,0.20157436041608096,0.4149024922725805,0.1777125585877612,0.5333333333333333,0.08235170520952344,0.04332644153457386,0.28645393663121166,0.030120481927710843,0.2993159657751582,0.2638533674339301,0.2481787595084845,0.5713910948939925,0.3039772727272727,0.12471910112359551,0.0,0.0,0.16561085972850678,0.07547169811320754,0.06451612903225806,0.08403361344537816,0.16279069767441862,0.4444444444444444,0.16367552045944006,0.0,0.32799634034766695,0.3002400977044994,0.1679540734171898,0.06837606837606838,0.023072565779100572,0.012100137297422145,0.4542526658942283,0.023148148148148147,0.21970038997068678,0.21902809236020912,0.32428102032997014,0.40673966556319496,0.45633187772925765,0.007062865869177908,0.0,0.0,0.020763601293470244,0.05442176870748299,0.06666666666666667,0.07627118644067797
