,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
20229,209078773,7,16,223,"{'20-30': 6.3, '10-20': 9.5, '0-10': 8.6}","{'20-30': -2.2, '10-20': 1.2000000000000002, '0-10': 2.1}",209078773,KR,1188,131,42093,"{'20-30': 84.60000000000002, '10-20': 201, '0-10': 169.49999999999997}","{'20-30': 1433, '10-20': 1112.7, '0-10': 487.4}",3,0,False,False,,,False,False,1524409636036,1829,3182236049,8.8.225.6906,11259,"{'20-30': 479.8, '10-20': 314.20000000000005, '0-10': 272.6}",10825,MASTER,0,3111,3060,3800,1054,3083,3105,3340,0,1,TOP,0,0,1,395,69687,10964,12224,11,/v1/stats/player_history/KR/209078773,0,0,0,0,8400,8300.0,31212,3723,19939,0,420,SOLO,11,0,12,4,56921556,원딜둥이,43,253265,14688,32572,7966,246,0,0,383,1,0,152365,0,408,1,0,29,1,6,15,False,"{'20-30': -8.799999999999955, '10-20': 63.299999999999955, '0-10': -29.599999999999994}","{'20-30': 555.4000000000001, '10-20': 537.2, '0-10': 438.20000000000005}",Tank,TahmKench,5,3,Support,9,6,top,0.14285714285714285,0.13636363636363635,0.19848391361833406,0.058823529411764705,0.11151891586674195,0.18577948633186353,0.2358070178822894,0.0,0.29315300084530854,0.25505240802904705,0.3555710107710964,0.20673076923076922,0.2653492711577972,0.19363258849120032,0.2946892246448928,0.17031193209757767,0.3,0.13229706390328153,0.32220647944510233,0.0,0.15644171779141106,0.1380952380952381,0.03225806451612903,0.14150943396226415,0.16279069767441862,0.16666666666666666,0.2264178033022254,0.034482758620689655,0.1806953339432754,0.16119160629527854,0.26386782105435114,0.0,0.05941482538391013,0.0477718039854747,0.34602619744309815,0.19907407407407407,0.40114472100083753,0.13084362957158346,0.30850236273496734,0.1352346999405823,0.5262008733624454,0.024370068719776025,0.5008398554988347,0.0,0.02314630963862257,0.14285714285714285,0.03333333333333333,0.11864406779661017
17173,203073673,13,18,223,"{'30-end': 4.4, '20-30': 3.7, '10-20': 9.2, '0-10': 6.8}","{'30-end': -2.8000000000000003, '20-30': -1.1999999999999997, '10-20': 0.5000000000000004, '0-10': -4.440892098500626e-16}",203073673,KR,2089,127,141452,"{'30-end': 311.5999999999999, '20-30': 388.69999999999993, '10-20': 101.80000000000001, '0-10': 370.59999999999997}","{'30-end': 2587.7, '20-30': 1830.8, '10-20': 1193.5, '0-10': 810}",14,1,False,True,False,False,False,False,1525085276603,2698,3189410093,8.8.226.7254,17265,"{'30-end': 444.6, '20-30': 342.9, '10-20': 454.2, '0-10': 358.9}",17150,CHALLENGER,0,3060,3143,3800,3047,3083,3109,3340,2,8,TOP,0,4,2,310,91014,17903,41909,11,/v1/stats/player_history/KR/203073673,10,0,1,0,8400,8300.0,33736,4688,32168,0,420,SOLO,11,0,12,4,22611767,SKT T1 Le0,47,280459,23123,80357,5485,246,0,0,845,1,0,155708,532,6278,0,0,52,6,6,27,False,"{'30-end': -134.10000000000005, '20-30': -258.3, '10-20': -168.00000000000006, '0-10': 72.79999999999998}","{'30-end': 560.0999999999999, '20-30': 306.3, '10-20': 523.4, '0-10': 489.4}",Tank,TahmKench,5,3,Support,9,6,top,0.14285714285714285,0.2641509433962264,0.19227556713775015,0.18604651162790697,0.10117493472584857,0.1596851703368137,0.36156500733327585,0.11363636363636363,0.09373793057458106,0.12824511010805636,0.29679109848135365,0.29375,0.22244862509825258,0.13107830799405915,0.34011097614139935,0.07163005719957166,0.2662337662337662,0.47285954113038614,0.47053206373765183,0.03914355087925833,0.5245655080213903,0.14565826330532214,0.09523809523809523,0.13846153846153847,0.3023255813953488,0.7777777777777778,0.5138549892318737,0.27586206896551724,0.14181152790484905,0.21052266355788715,0.9566171151198338,0.042735042735042736,0.06432794071559408,0.060154235048054096,0.5861825180181065,0.2175925925925926,0.4456282061348409,0.22138969696319116,0.8633096866328415,0.09311603429250488,0.5262008733624454,0.05376686179689488,0.5118286497556037,0.018484416802751816,0.35615816644919723,0.29931972789115646,0.2,0.22033898305084745
1115,2373850,9,15,223,"{'20-30': 5.8, '10-20': 7.5, '0-10': 5.5}","{'20-30': 3.6999999999999997, '10-20': -0.9000000000000008, '0-10': -1.5999999999999996}",2373850,KR,2168,413,38904,"{'20-30': -568.3, '10-20': -38.39999999999998, '0-10': 82.69999999999999}","{'20-30': 789.4, '10-20': 675.9000000000001, '0-10': 611.6}",6,0,False,False,True,False,False,False,1525774485370,1898,3198276300,8.9.228.4283,11153,"{'20-30': 423.29999999999995, '10-20': 310.7, '0-10': 254.79999999999998}",10783,CHALLENGER,0,2055,0,3060,3047,3078,3068,3340,0,1,TOP,0,0,1,569,63876,11850,13392,11,/v1/stats/player_history/KR/2373850,0,0,0,0,8400,8300.0,24277,3202,10447,0,420,SOLO,11,0,12,4,3131594,칭찬은항상짜릿해,42,242619,15052,24619,1852,188,0,0,364,1,0,154465,0,779,1,0,20,2,3,12,True,"{'20-30': 80.5, '10-20': -26.400000000000006, '0-10': -19}","{'20-30': 463.9, '10-20': 445.5, '0-10': 440.7}",Tank,TahmKench,5,3,Support,9,6,top,0.16363636363636364,0.2,0.20168538309915188,0.047619047619047616,0.17676296986641815,0.2548902243397898,0.24128860221253287,0.0,0.21995016987542468,0.2022230642920298,0.17372289477185046,0.21875,0.35241697569733443,0.20243971325972052,0.20684932657810937,0.11056056354844487,0.29012345679012347,0.19601507808292945,0.4717007060318081,0.0,0.230678116671602,0.09852216748768473,0.06896551724137931,0.11320754716981132,0.20930232558139536,0.3333333333333333,0.22134481933476907,0.034482758620689655,0.26029277218664226,0.14775029838732062,0.2911250612587804,0.0,0.04591543757676743,0.04108657436515982,0.1596198032246028,0.19444444444444445,0.3837301743090452,0.13475101173288104,0.216164125904167,0.031440454969866735,0.39956331877729256,0.02316110969712395,0.5077427774070653,0.0,0.044193566687468086,0.08163265306122448,0.06666666666666667,0.09322033898305085
