,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
23892,1709342,7,16,69,"{'20-30': 5.5, '10-20': 6.7, '0-10': 5.6}",,1709342,KR,5967,1007,17642,,"{'20-30': 1122.8, '10-20': 760.3, '0-10': 386.9}",9,0,False,False,False,False,False,False,1522935241842,1986,3166266702,8.7.223.9264,12909,"{'20-30': 327.2, '10-20': 516.2, '0-10': 229.3}",11300,UNRANKED,0,3040,2033,3136,3165,3116,1082,3340,1,6,MIDDLE,0,5,1,474,172103,19351,7791,11,/v1/stats/player_history/KR/1709342,33,4,24,0,8200,8300.0,6928,194,17382,0,420,DUO_CARRY,11,0,4,3,2271303,장승린,46,179031,19545,28639,4930,193,0,0,9402,1,0,0,0,3465,0,0,26,2,5,14,False,,"{'20-30': 424.1, '10-20': 562.7, '0-10': 380.4}",Mage,Cassiopeia,10,2,Mage,3,9,adc,0.11666666666666667,0.2647058823529412,0.18358552818704135,0.13953488372093023,0.15773710482529119,0.4801806854104064,0.18299471520845567,0.10855263157894737,0.013309383614934634,0.0033435593395608563,0.2189747918215145,0.30666666666666664,0.19645110531247875,0.17475389608647837,0.2240117015784616,0.19727101756632387,0.24967658473479948,0.8152965660770031,0.0,0.0,0.5882852292020373,0.14444444444444443,0.13333333333333333,0.17073170731707318,0.16279069767441862,0.5,0.30538406317300787,0.20689655172413793,0.21683440073193047,0.3980880080680231,0.16041632634010874,0.14102564102564102,0.012144582628516703,0.002489317747295754,0.2958111584611457,0.21296296296296297,0.27971399968592964,0.1829814184656011,0.2628383006885021,0.0836940836940837,0.4104803493449782,0.5982438279460423,0.0,0.0,0.19657343847506667,0.12244897959183673,0.06666666666666667,0.11016949152542373
14636,2732767,10,16,115,"{'30-end': 6.8, '20-30': 7.6, '10-20': 9.600000000000001, '0-10': 8.5}",,2732767,KR,35783,29795,4358,,"{'30-end': 339.4, '20-30': 429.1, '10-20': 369.7, '0-10': 113}",3,0,False,False,False,True,False,True,1523340475623,2165,3170972586,8.7.223.9264,14756,"{'30-end': 514.8, '20-30': 444.20000000000005, '10-20': 317.29999999999995, '0-10': 337.4}",13500,MASTER,1,3285,3135,3151,3165,0,3020,3363,0,2,BOTTOM,0,0,1,946,209517,31794,8190,11,/v1/stats/player_history/KR/2732767,4,0,1,0,8200,8300.0,15543,1257,2998,0,420,DUO_CARRY,11,0,7,4,3469069,짱귀요미직스,18,400678,33648,12143,1359,304,0,0,460,2,0,175616,596,954,5,0,19,2,2,10,True,,"{'30-end': 475.8, '20-30': 535.3, '10-20': 405, '0-10': 300.29999999999995}",Mage,Ziggs,4,2,Mage,4,9,adc,0.3125,0.11538461538461539,0.1980405314722856,0.05555555555555555,0.26685472496473905,0.43149381541389153,0.14651162790697675,0.018867924528301886,0.028812893227496358,0.019838702040687488,0.05094307561597281,0.1267605633802817,0.2900044657494389,0.23532373798833453,0.10193323092162146,0.05839384694710609,0.2620689655172414,0.08260010773927097,0.49245402592158466,0.09124311083894672,0.21815687171278297,0.10919540229885058,0.125,0.1111111111111111,0.23255813953488372,0.16666666666666666,0.39377841588896867,0.06896551724137931,0.43275388838060386,0.4846295833680295,0.1697276609647383,0.017094017094017096,0.028914189832342858,0.0161292392183029,0.01333438070737024,0.08333333333333333,0.642280412479062,0.3343710080831285,0.07131163719536973,0.023071046600458365,0.6528384279475983,0.02926953423262917,0.5772683494456297,0.020708106042180607,0.05412151812560277,0.07482993197278912,0.06666666666666667,0.07627118644067797
18405,209176499,10,16,43,"{'20-30': 8, '10-20': 9.3, '0-10': 8.3}",,209176499,KR,5284,3304,16707,,"{'20-30': 645.6, '10-20': 396.4, '0-10': 210.6}",5,0,False,False,False,False,False,False,1523681928884,1801,3174152122,8.7.223.9264,13754,"{'20-30': 456.1, '10-20': 513.4, '0-10': 355.79999999999995}",12800,CHALLENGER,0,3060,3040,3504,3089,0,3111,3340,1,7,TOP,0,2,1,441,138280,22555,5375,11,/v1/stats/player_history/KR/209176499,12,0,12,0,8300,8200.0,14405,1588,6674,0,420,DUO_CARRY,11,0,7,4,57451336,ROX Iava,25,302685,24144,12526,1128,256,0,0,823,3,0,150000,0,477,4,0,33,2,3,17,True,,"{'20-30': 415.7, '10-20': 585.3, '0-10': 488.5}",Support,Karma,5,1,Mage,7,8,adc,0.18518518518518517,0.21739130434782608,0.20913223957303814,0.2413793103448276,0.15424973767051417,0.5995360835916669,0.14242938152525306,0.037037037037037035,0.025506635620755905,0.03256433917768892,0.10908437122029355,0.25252525252525254,0.30669534837535617,0.26621679732724685,0.12231585731444139,0.03874823949709732,0.30917874396135264,0.3282808137215796,0.7832121095034957,0.0,0.13687230989956958,0.21019108280254778,0.13333333333333333,0.30357142857142855,0.23255813953488372,0.2777777777777778,0.34582435989471166,0.2413793103448276,0.20173833485818848,0.3198527030652936,0.1040349116706728,0.05128205128205128,0.026699005502922757,0.020376477230441534,0.08552463620117437,0.11574074074074074,0.48198512091708545,0.23234968923430338,0.07575845534024545,0.019149477973007385,0.5480349344978166,0.052367014507508275,0.49306585058789887,0.0,0.027060759062801386,0.17006802721088435,0.06666666666666667,0.13559322033898305
25127,6871634,7,18,13,"{'20-30': 9.100000000000001, '10-20': 7.9, '0-10': 7.9}",,6871634,KR,7122,1584,18621,,"{'20-30': 832.2, '10-20': 657.6, '0-10': 345.1}",2,0,False,False,False,True,False,False,1524589922252,1889,3183778494,8.8.226.7254,14802,"{'20-30': 782.9, '10-20': 320.20000000000005, '0-10': 273.1}",15250,MASTER,1,3040,3140,2421,3111,3089,3027,3340,1,8,TOP,1193,7,1,531,198810,24684,9410,11,/v1/stats/player_history/KR/6871634,30,7,16,0,8200,8100.0,12780,1236,9749,0,420,DUO_CARRY,11,0,4,12,9880524,Hou TaNa,43,211690,26021,19621,8924,249,0,0,85,1,0,100,100,461,1,0,39,8,4,21,True,,"{'20-30': 924, '10-20': 433.6, '0-10': 459.9}",Fighter,Ryze,7,2,Mage,2,10,adc,0.175,0.08333333333333333,0.21563428704620943,0.26666666666666666,0.16120218579234974,0.4241108093751933,0.24493726898849497,0.15544041450777202,0.028184047564439582,0.026280538368310263,0.1543466903092,0.3161764705882353,0.22330639886917444,0.2481191536429777,0.1878020999837285,0.30193530924347,0.22212310437109722,0.04678040726472207,0.0038822889975929807,0.04948045522018803,0.15935015554787418,0.2215909090909091,0.3076923076923077,0.25925925925925924,0.16279069767441862,0.1111111111111111,0.39597989949748746,0.27586206896551724,0.24290942360475754,0.45986343575651595,0.19819840843854286,0.1282051282051282,0.023535846860297395,0.015859776987925525,0.14591229551658452,0.19907407407407407,0.3331370393634841,0.25249847032429124,0.15813489068722497,0.15149817502758678,0.5327510917030568,0.005408500890811911,0.00032871056705859926,0.0034745144366074843,0.0261530606456005,0.2108843537414966,0.26666666666666666,0.1694915254237288
9740,5673244,9,17,85,"{'20-30': 7.1, '10-20': 9.6, '0-10': 7.5}","{'20-30': -0.75, '10-20': 0.7000000000000002, '0-10': 0.20000000000000018}",5673244,KR,9536,3081,14117,"{'20-30': -255.95, '10-20': -43.10000000000002, '0-10': -90.34999999999997}","{'20-30': 442.2, '10-20': 453.6, '0-10': 301.1}",4,1,False,False,False,False,False,False,1525354368697,2024,3192646739,8.9.227.7511,15910,"{'20-30': 510.4, '10-20': 468.2, '0-10': 336.9}",15105,MASTER,0,1038,3153,3085,3091,3111,3124,3363,3,9,BOTTOM,583,5,3,659,38867,4522,7380,11,/v1/stats/player_history/KR/5673244,40,0,32,0,8000,8200.0,140206,7936,7850,0,420,DUO_CARRY,11,0,7,4,8342164,양치하고 자라,13,185198,12720,16018,2547,259,0,0,914,3,1,6124,262,788,1,0,34,3,7,12,False,"{'20-30': -0.9499999999999886, '10-20': 101.80000000000001, '0-10': 45.14999999999998}","{'20-30': 558, '10-20': 545.2, '0-10': 315.1}",Marksman,Kennen,4,6,Mage,4,7,adc,0.17647058823529413,0.13333333333333333,0.22228742280716463,0.28125,0.21741999340151766,0.16470882385347538,0.12297335577291586,0.12232415902140673,0.25235333714906927,0.1557330402872898,0.13341264445955134,0.18840579710144928,0.2174234108372418,0.12450447805021289,0.1306631862305245,0.0733160621761658,0.30870083432657924,0.2892405063291139,0.10170730087025842,0.046827524575513854,0.21092077087794434,0.18085106382978725,0.16666666666666666,0.17142857142857143,0.20930232558139536,0.2222222222222222,0.4490069394592008,0.3103448275862069,0.30146386093321137,0.08990248054699716,0.1508249515763926,0.17094017094017094,0.27157809498040786,0.10183106001308817,0.10861923371497025,0.06018518518518518,0.2898018739530988,0.10971800294127118,0.11630229074992163,0.04323911382734912,0.5545851528384279,0.05815729193178926,0.020130235126668616,0.009103227823911608,0.04470414704714359,0.17687074829931973,0.1,0.09322033898305085
20713,5673244,5,18,85,"{'30-end': 6.8, '20-30': 10.3, '10-20': 9.7, '0-10': 8.5}","{'30-end': 2.1000000000000005, '20-30': 0.5499999999999998, '10-20': 0.3500000000000001, '0-10': 0.3500000000000003}",5673244,KR,23362,4340,24171,"{'30-end': 71.89999999999998, '20-30': 44.25000000000006, '10-20': 63.29999999999998, '0-10': -27.000000000000043}","{'30-end': 995.8, '20-30': 422.90000000000003, '10-20': 469.1, '0-10': 231.5}",6,0,False,False,False,False,False,True,1525360890914,2321,3192765932,8.9.227.7511,18937,"{'30-end': 506.4, '20-30': 543.5, '10-20': 521.1, '0-10': 337.4}",19230,MASTER,0,3031,3153,3026,3124,3085,3047,3363,3,9,BOTTOM,1070,3,1,641,42874,9732,7254,11,/v1/stats/player_history/KR/5673244,50,16,21,0,8000,8200.0,275245,21354,13679,0,420,DUO_CARRY,11,0,7,4,8342164,양치하고 자라,37,329408,32449,22356,4242,357,0,0,1090,3,0,11288,1362,1422,2,0,44,4,19,15,False,"{'30-end': -53.299999999999955, '20-30': 1.1368683772161603e-13, '10-20': -0.8000000000000398, '0-10': 48.04999999999997}","{'30-end': 463.8, '20-30': 675.4000000000001, '10-20': 535.4000000000001, '0-10': 368.6}",Marksman,Kennen,4,6,Mage,4,7,adc,0.1282051282051282,0.2857142857142857,0.23108274658629147,0.25,0.15160832544938505,0.33138811380693634,0.15564519589752393,0.11737089201877934,0.26630049884480084,0.2344763975359884,0.16305099291963668,0.42045454545454547,0.27030123002945833,0.27865178188063544,0.16114987601637737,0.10058568278282314,0.3387096774193548,0.3632122625791403,0.20264981508742955,0.24434876210979548,0.17288753799392098,0.17886178861788618,0.09523809523809523,0.125,0.11627906976744186,0.3333333333333333,0.5938741325675999,0.3103448275862069,0.29322964318389755,0.09917099212627567,0.1478845301159833,0.21367521367521367,0.5344394980213226,0.2740045936894512,0.22309066986115747,0.1712962962962963,0.5256981522194305,0.32150026299687623,0.1898895842283087,0.07201426024955437,0.7685589519650655,0.06935607024688216,0.03710484880957468,0.04732288662659393,0.08067169682872866,0.24489795918367346,0.13333333333333333,0.11864406779661017
19406,209077811,18,16,69,"{'20-30': 6.6, '10-20': 8, '0-10': 4}","{'20-30': -0.7499999999999998, '10-20': -0.24999999999999956, '0-10': -1.4000000000000004}",209077811,KR,12908,5519,11587,"{'20-30': -44.25000000000006, '10-20': -213.10000000000002, '0-10': 73.04999999999998}","{'20-30': 1244.3, '10-20': 592, '0-10': 444.29999999999995}",9,1,False,False,False,True,False,False,1525717904633,1828,3197928575,8.9.228.4283,14116,"{'20-30': 633.0999999999999, '10-20': 409.9, '0-10': 244.2}",12450,UNRANKED,1,2033,3040,3905,1082,3151,3116,3364,1,6,BOTTOM,0,2,2,415,157057,18754,5327,11,/v1/stats/player_history/KR/209077811,19,4,3,0,8200,8300.0,6381,327,16268,0,420,DUO_CARRY,11,0,7,4,56991495,오늘 유난히,30,167128,19082,22824,8846,193,0,0,6560,4,0,3690,0,1228,1,0,20,4,1,12,True,"{'20-30': 316.84999999999997, '10-20': 19.899999999999977, '0-10': -110.94999999999997}","{'20-30': 748.4, '10-20': 526, '0-10': 203.79999999999998}",Mage,Cassiopeia,10,2,Mage,3,9,adc,0.4186046511627907,0.23076923076923078,0.21654292201018593,0.17142857142857143,0.1928438661710037,0.6533343316985104,0.11097454272738635,0.06354515050167224,0.011872997443426032,0.005685275657631657,0.1999926238274959,0.45454545454545453,0.17606172399916567,0.20676353628276392,0.16826026377288109,0.24809984574393493,0.26620689655172414,0.8051055473735886,0.021525448446842642,0.0,0.19495157961581203,0.11560693641618497,0.15384615384615385,0.1643835616438356,0.4186046511627907,0.5,0.36314907872696817,0.20689655172413793,0.1898444647758463,0.36328540631563366,0.10291475111432638,0.0811965811965812,0.011079814765429888,0.004195911873019132,0.273934133265254,0.1388888888888889,0.2602432736599665,0.17801131423296157,0.19532329412857458,0.1501740089975384,0.4104803493449782,0.41740900992618984,0.012129419924462311,0.0,0.06966585352016792,0.08163265306122448,0.13333333333333333,0.09322033898305085
