,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
12644,4586738,8,16,78,"{'20-30': 5.2, '10-20': 7.1, '0-10': 4.2}",,4586738,KR,6879,4479,43550,,"{'20-30': 1134.5, '10-20': 677, '0-10': 573.2}",3,1,False,False,False,True,False,False,1524739896626,1821,3185035183,8.8.226.7254,11688,"{'20-30': 459.1, '10-20': 433.5, '0-10': 204.8}",10750,CHALLENGER,1,3194,2033,3800,3050,3111,0,3340,2,5,TOP,0,3,2,367,18117,2113,10534,11,/v1/stats/player_history/KR/4586738,6,4,1,0,8200,8400.0,90462,11699,13859,0,420,DUO_CARRY,11,0,12,4,5802440,소환대전 큐이,31,113382,14055,24576,1663,166,0,0,2802,1,0,4802,242,182,1,0,33,2,5,12,True,,"{'20-30': 643.5999999999999, '10-20': 504.29999999999995, '0-10': 406.79999999999995}",Fighter,Poppy,6,6,Tank,7,2,adc,0.24242424242424243,0.10714285714285714,0.18476130256085993,0.11904761904761904,0.1699074074074074,0.09413042235811854,0.22071364217319336,0.024,0.1876263899000081,0.20797113042859935,0.19924093215831165,0.34831460674157305,0.16350846225729415,0.16124221322289398,0.20664256285209787,0.06031918752266957,0.24163027656477437,0.6566674478556362,0.25514053450932467,0.15744957709824334,0.11097560975609756,0.2357142857142857,0.14285714285714285,0.2,0.18604651162790697,0.16666666666666666,0.24694903086862885,0.1724137931034483,0.1678865507776761,0.04190607044716463,0.22442883479965461,0.02564102564102564,0.1747484558919426,0.15011612538975788,0.22662555723571806,0.14351851851851852,0.17232647613065327,0.12404864905482144,0.21566487478085197,0.028231898820134115,0.35152838427947597,0.17828964113005855,0.015784681430153935,0.008408324936590111,0.010325069495660068,0.17006802721088435,0.06666666666666667,0.09322033898305085
13877,5219157,10,17,14,"{'20-30': 4.8, '10-20': 6.4, '0-10': 6.699999999999999}","{'20-30': -6.050000000000001, '10-20': -5.25, '0-10': -4.25}",5219157,KR,2384,1638,48704,"{'20-30': 151.75, '10-20': -74.59999999999997, '0-10': 133.89999999999998}","{'20-30': 1618.5, '10-20': 668.3, '0-10': 448.20000000000005}",5,0,False,False,True,False,False,False,1525017142129,2023,3188693955,8.8.226.7254,12730,"{'20-30': 405.2, '10-20': 355.2, '0-10': 305.4}",10900,MASTER,0,2033,3060,3800,3001,3047,3076,3340,2,5,TOP,0,2,1,603,73487,7046,9998,11,/v1/stats/player_history/KR/5219157,4,0,0,0,8200,8400.0,51128,6408,21376,0,420,DUO_CARRY,11,0,12,4,7621575,1 Peak,30,133617,13900,34671,14099,198,0,0,1275,1,0,9001,446,3296,1,0,25,2,3,12,True,"{'20-30': -132.95000000000005, '10-20': -98.45000000000007, '0-10': -28.44999999999996}","{'20-30': 572.3, '10-20': 459.5, '0-10': 458.1}",Fighter,Sion,5,5,Tank,9,3,adc,0.18867924528301888,0.15151515151515152,0.18256916259124872,0.16666666666666666,0.19953673064195895,0.18459200462189623,0.17840191285107598,0.025157232704402517,0.11537454755521857,0.12399140883496837,0.2592098561831543,0.2631578947368421,0.12940700200381006,0.12527601279798117,0.23005261795911325,0.2651134803783306,0.2104144527098831,0.4028436018957346,0.04705790092798327,0.04474766730209692,0.2702303845207838,0.2032520325203252,0.125,0.19047619047619047,0.23255813953488372,0.2777777777777778,0.2968174204355109,0.1724137931034483,0.2758462946020128,0.16998131031356112,0.21192037525378637,0.017094017094017096,0.09818249770792659,0.08222447486943914,0.3742463816500069,0.1388888888888889,0.20542654679648242,0.12238479126635679,0.3328727838474846,0.2393514981750276,0.42139737991266374,0.08112751336217867,0.02958723814094452,0.015496334387269379,0.1869858739433823,0.11564625850340136,0.06666666666666667,0.09322033898305085
12796,4586738,6,17,78,"{'30-end': 6, '20-30': 4.699999999999999, '10-20': 6.8, '0-10': 6.4}",,4586738,KR,381,381,49591,,"{'30-end': 975.8, '20-30': 1025.8, '10-20': 738.0999999999999, '0-10': 442.70000000000005}",4,0,False,False,False,False,False,False,1525344743630,2112,3192504583,8.9.227.7511,11723,"{'30-end': 348.2, '20-30': 334.2, '10-20': 349, '0-10': 262.6}",10950,CHALLENGER,0,1055,2033,3050,3068,3025,3047,3340,2,5,TOP,0,2,1,1043,40450,5634,5031,11,/v1/stats/player_history/KR/4586738,4,0,4,0,8200,8400.0,109632,15267,18960,0,420,DUO_CARRY,11,0,12,4,5802440,w연산켄파치w,37,152628,20902,26945,962,209,0,0,3307,1,0,2545,0,2953,0,0,27,2,5,16,False,,"{'30-end': 445.6, '20-30': 496.59999999999997, '10-20': 527.1, '0-10': 459.4}",Fighter,Poppy,6,6,Tank,7,2,adc,0.17647058823529413,0.19047619047619047,0.15478972733874694,0.15625,0.19197496778943493,0.13774104683195593,0.10705394190871369,0.014285714285714285,0.13289403824194687,0.16254804467489326,0.1789895023034514,0.37373737373737376,0.13277853801632547,0.15206763088205338,0.16766642191330752,0.01375012506610637,0.19139194139194138,0.6070117474302497,0.08245585614774016,0.0,0.3795629820051414,0.1330049261083744,0.14285714285714285,0.17391304347826086,0.13953488372093023,0.2222222222222222,0.24862407274467577,0.1724137931034483,0.47712717291857276,0.0935640861946133,0.0960070943501902,0.017094017094017096,0.21206399507909843,0.19589904148435194,0.3268003377781269,0.1712962962962963,0.23652441896984924,0.19754822503944952,0.24317012852813802,0.01633138103726339,0.44541484716157204,0.21042249936370577,0.00836568393164135,0.0,0.16752708912463835,0.1292517006802721,0.06666666666666667,0.1271186440677966
9677,208273206,11,17,14,"{'20-30': 7.5, '10-20': 5.9, '0-10': 6.1}",,208273206,KR,5287,1520,65444,,"{'20-30': 1928.6999999999998, '10-20': 1113.1, '0-10': 428.1}",5,0,False,False,False,False,True,False,1525410762376,1984,3193021786,8.9.227.7511,12839,"{'20-30': 375.7, '10-20': 495.5, '0-10': 240.7}",12125,DIAMOND,0,3060,3193,3143,2403,3001,3047,3340,0,2,TOP,0,0,1,518,88444,14141,14567,11,/v1/stats/player_history/KR/208273206,1,1,0,0,8400,8300.0,48017,11228,19076,0,420,DUO_CARRY,11,0,4,12,51210803,창 그리고 활,50,268515,25740,39085,18104,214,0,0,1368,1,0,132053,370,5441,1,0,24,3,3,13,False,,"{'20-30': 484.70000000000005, '10-20': 492.79999999999995, '0-10': 448.6}",Fighter,Sion,5,5,Tank,9,3,adc,0.23404255319148937,0.21739130434782608,0.17459475630983465,0.06451612903225806,0.12995484194681384,0.2677508612808108,0.22380125674077034,0.004608294930875576,0.07862693918721979,0.14528609508035506,0.23523608696188328,0.47619047619047616,0.23983011865791953,0.180828269345604,0.24855325914149443,0.2511061486608319,0.20037453183520598,0.5081723625557206,0.739436461984702,0.03586661496704149,0.49173068233167644,0.12307692307692308,0.21428571428571427,0.14285714285714285,0.2558139534883721,0.2777777777777778,0.3020339794209141,0.06896551724137931,0.23696248856358645,0.20457804794552234,0.3185456582110102,0.004273504273504274,0.09212675214656812,0.14407247250843674,0.3290783763083993,0.23148148148148148,0.42609041300251255,0.24948205717230051,0.38412149218033415,0.3073423308717426,0.45633187772925765,0.08704504963094935,0.43407216511789204,0.012855703415447691,0.308674192999376,0.10884353741496598,0.1,0.1016949152542373
21596,209334808,20,17,14,"{'20-30': 6.2, '10-20': 6.4, '0-10': 5}",,209334808,KR,2524,846,58303,,"{'20-30': 1097.1999999999998, '10-20': 788.4, '0-10': 423.1}",4,0,False,False,False,False,False,False,1525534234444,1988,3195190307,8.9.228.4283,12873,"{'20-30': 377.2, '10-20': 476.29999999999995, '0-10': 278.1}",12325,DIAMOND,0,2033,3143,3193,3800,3047,3110,3364,1,5,TOP,0,3,1,487,80060,10034,6429,11,/v1/stats/player_history/KR/209334808,3,0,3,0,8300,8400.0,37125,6589,20127,0,420,DUO_CARRY,11,0,12,4,59830352,그림쟈가웃으면,56,119820,16642,29443,9375,180,0,0,2530,1,0,2635,18,2886,0,0,22,3,5,6,True,,"{'20-30': 597.1, '10-20': 583.9000000000001, '0-10': 433.8}",Fighter,Sion,5,5,Tank,9,3,adc,0.3125,0.08888888888888889,0.16918345621574735,0.11363636363636363,0.19371519490851233,0.28260992347010816,0.11811067019400352,0.014150943396226415,0.06285607862724017,0.08826996758031241,0.2546528840922606,0.3218390804597701,0.1334148386428698,0.12316277142138216,0.19986152311002803,0.22875896735152018,0.18537590113285274,0.55,0.1090014064697609,0.0028980840444372885,0.20846576134065298,0.11518324607329843,0.125,0.08955223880597014,0.46511627906976744,0.2222222222222222,0.3036611629576454,0.1724137931034483,0.22278133577310155,0.18518518518518517,0.12863177055377936,0.01282051282051282,0.07092482972473707,0.08454698266459651,0.3497181909231947,0.25925925925925924,0.18285764761306533,0.15181897227261504,0.27217313564536916,0.1591545709192768,0.38209606986899564,0.16098243827946043,0.00866152344199409,0.0006254125985893471,0.16372610200260962,0.09523809523809523,0.1,0.0423728813559322
