,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
14924,4735341,7,16,24,"{'20-30': 7.5, '10-20': 8.5, '0-10': 7.9}",,4735341,KR,20018,7079,25899,,"{'20-30': 1403.6999999999998, '10-20': 679.3, '0-10': 581.1}",7,0,False,False,True,False,False,False,1521105234840,2008,3144995901,8.5.220.3006,15268,"{'20-30': 480.5, '10-20': 426.8, '0-10': 367.5}",15383,DIAMOND,0,3111,3748,1055,3078,3124,3194,3340,1,6,TOP,0,2,1,587,32950,4370,10205,11,/v1/stats/player_history/KR/4735341,40,4,6,0,8300,8200.0,171550,10162,19280,0,420,DUO_CARRY,11,0,12,4,6390203,파이팅야소년,20,204680,14563,30266,1759,260,0,0,124,1,0,180,30,780,3,0,36,0,7,18,True,,"{'20-30': 539.1, '10-20': 438.5, '0-10': 435.2}",Assassin,Jax,5,7,Fighter,5,7,adc,0.18421052631578946,0.3333333333333333,0.2184200738176304,0.2222222222222222,0.11023474178403755,0.25573760312939003,0.21536351165980797,0.15873015873015872,0.21563481229526948,0.14159316696623891,0.26232720148035266,0.19047619047619047,0.21761411238363365,0.1502129985868859,0.24480518955295108,0.074436122043079,0.2448210922787194,0.07328605200945626,0.011138613861386138,0.011596443757247778,0.2838427947598253,0.22641509433962265,0.0,0.21176470588235294,0.16279069767441862,0.3888888888888889,0.41828188561856905,0.20689655172413793,0.2685269899359561,0.07621598615852924,0.21675106765303026,0.17094017094017094,0.3325910454385306,0.13039405643308996,0.333084581999568,0.09259259259259259,0.32167019995812396,0.12950180877443457,0.281728569935794,0.02986164162634751,0.5567685589519651,0.007890048358360905,0.0005916790207054786,0.0010423543309822452,0.044250297838543146,0.19047619047619047,0.0,0.1440677966101695
5211,1860080,11,17,164,"{'20-30': 6.3, '10-20': 6.9, '0-10': 8.2}",,1860080,KR,16672,7583,38577,,"{'20-30': 1756.1, '10-20': 1454.6, '0-10': 588.1}",5,2,False,False,False,False,False,False,1521221930640,1971,3146711292,8.5.220.3006,16013,"{'20-30': 443.1, '10-20': 547.4, '0-10': 366.1}",14408,DIAMOND,1,3074,1029,3111,1038,3053,3078,3340,3,13,TOP,0,5,2,794,1143,1143,12765,11,/v1/stats/player_history/KR/1860080,27,8,10,0,8200,8400.0,165444,24017,30300,0,420,DUO_CARRY,11,0,12,4,2449511,take a ggro,42,231531,38316,44544,3261,225,0,0,554,1,0,64942,13156,1478,1,0,37,1,7,16,True,,"{'20-30': 635.7, '10-20': 478, '0-10': 478.90000000000003}",Tank,Camille,4,8,Fighter,6,3,adc,0.2391304347826087,0.18518518518518517,0.22286398240803887,0.3333333333333333,0.19864898674005504,0.0032695630284792386,0.23131285675455288,0.12558139534883722,0.2837454036551232,0.27686898380310104,0.30317584198835323,0.25,0.22477908582013478,0.2365097588978186,0.2748662507636202,0.0725021121437147,0.22037218413320275,0.24266316250547526,0.6669405276616721,0.7204819277108434,0.21339878717874675,0.21264367816091953,0.0625,0.19753086419753085,0.2558139534883721,0.2777777777777778,0.4539363484087102,0.4482758620689655,0.36322049405306495,0.002643850445499209,0.27649296399150547,0.11538461538461539,0.32070535517891796,0.3081749708082584,0.5494982423754443,0.19444444444444445,0.36559261149497485,0.38447996393185696,0.44750316385886285,0.055360325948561245,0.48034934497816595,0.03525069992364469,0.2134712164591955,0.45710711928008063,0.08384864128893176,0.19727891156462585,0.03333333333333333,0.1271186440677966
26941,758274,6,17,164,"{'20-30': 5.6, '10-20': 8.7, '0-10': 4.8}","{'20-30': 0.40000000000000036, '10-20': 1.0000000000000002, '0-10': -0.55}",758274,KR,10404,5485,26205,"{'20-30': 236.14999999999998, '10-20': 188.45, '0-10': 223.25}","{'20-30': 1169.6, '10-20': 740.9, '0-10': 547.1}",6,0,False,False,False,False,False,False,1523454894832,2078,3172210016,8.7.223.9264,14906,"{'20-30': 515.2, '10-20': 402.1, '0-10': 223.10000000000002}",12858,CHALLENGER,0,3111,3053,3074,0,1029,3078,3340,2,6,BOTTOM,0,2,1,487,1267,1099,8753,11,/v1/stats/player_history/KR/758274,21,5,11,0,8200,8400.0,185253,13664,22900,0,420,DUO_CARRY,11,0,4,12,1164825,우르프rider,21,215790,18635,33407,2967,245,0,0,364,1,0,29270,3871,1753,2,0,33,5,2,20,True,"{'20-30': 40.44999999999999, '10-20': 9.300000000000011, '0-10': -8.599999999999994}","{'20-30': 513.2, '10-20': 516.2, '0-10': 338.2}",Tank,Camille,4,8,Fighter,6,3,adc,0.11764705882352941,0.2222222222222222,0.21227872797960665,0.24,0.15362776025236594,0.009343244399215373,0.18336650256625117,0.06930693069306931,0.24941333279479774,0.17543138866064092,0.25363562860655464,0.175,0.229789952879163,0.17309282085102035,0.22618144888287067,0.07472798710457385,0.28488372093023256,0.14875357580711074,0.48212815022236866,0.41361256544502617,0.18118863049095607,0.1864406779661017,0.22727272727272727,0.19801980198019803,0.13953488372093023,0.3333333333333333,0.4009571667863125,0.20689655172413793,0.22278133577310155,0.0029306723660957987,0.18286621082355137,0.08974358974358974,0.3592647456723123,0.1753300912322123,0.4041750947546199,0.09722222222222222,0.33984375,0.1732129630623571,0.31819712292027075,0.05036923860453272,0.5240174672489083,0.02316110969712395,0.09621358297805199,0.1344984538410757,0.09944970783457197,0.17006802721088435,0.16666666666666666,0.16101694915254236
6349,3386550,4,16,41,"{'20-30': 7.4, '10-20': 9, '0-10': 6}",,3386550,KR,7635,5037,18810,,"{'20-30': 1612.7, '10-20': 1292.6999999999998, '0-10': 615.8}",7,0,False,False,False,True,False,False,1525247812943,1865,3191367953,8.9.227.7511,13677,"{'20-30': 543.6, '10-20': 455.3, '0-10': 238.2}",11883,DIAMOND,1,2033,3053,3046,1037,3078,3009,3340,1,4,TOP,905,2,1,432,13915,4610,22624,11,/v1/stats/player_history/KR/3386550,16,0,16,0,8400,8200.0,204349,15771,13399,0,420,DUO_CARRY,11,0,12,4,4252326,somybad,11,230600,22396,36659,9816,232,0,0,862,1,0,12336,2014,636,2,0,17,1,1,13,True,,"{'20-30': 578.7, '10-20': 539.6, '0-10': 381.9}",Fighter,Gangplank,9,7,Fighter,6,4,adc,0.13793103448275862,0.22580645161290322,0.21161999071638557,0.16,0.11980033277870217,0.057931855651218174,0.3673383234019062,0.10126582278481013,0.3176726999124783,0.21983858152469368,0.18529171794836335,0.1375,0.22168813689675063,0.19170554247806548,0.2645751237748813,0.4333009623024631,0.23363544813695872,0.3690068493150685,0.07870710061059254,0.3156739811912226,0.13668600902643455,0.11643835616438356,0.08333333333333333,0.14444444444444443,0.09302325581395349,0.3888888888888889,0.3421392677674085,0.13793103448275862,0.19762122598353157,0.03218650826694794,0.5065692749294065,0.06837606837606838,0.3964362394812809,0.20236613501340894,0.21759195616739654,0.05092592592592592,0.3640696974455611,0.21358566720697317,0.3559544404323747,0.1666412019353196,0.49563318777292575,0.05484856197505727,0.0405497355523488,0.06997672075327473,0.03608101208373518,0.061224489795918366,0.03333333333333333,0.1016949152542373
12773,201200763,11,18,266,"{'20-30': 7.7, '10-20': 9.9, '0-10': 8.7}",,201200763,KR,18554,8281,28721,,"{'20-30': 1787.1, '10-20': 1187.1, '0-10': 592.4000000000001}",4,1,False,False,False,False,False,True,1525366399121,1966,3192787431,8.9.227.7511,17107,"{'20-30': 606.0999999999999, '10-20': 461.8, '0-10': 371.6}",15550,MASTER,1,1042,3748,3143,3053,3047,3124,3340,2,7,TOP,0,3,2,710,3850,2407,15390,11,/v1/stats/player_history/KR/201200763,20,4,4,0,8000,8400.0,211512,20911,22161,0,420,DUO_CARRY,11,0,4,12,16380488,보고 싶어Tiamo,21,221456,26773,41092,19164,283,0,0,512,1,0,6094,3454,3539,3,0,31,2,5,15,True,,"{'20-30': 748.7, '10-20': 563.7, '0-10': 467.2}",Tank,Aatrox,4,8,Fighter,4,3,adc,0.2,0.15384615384615385,0.23115068641227976,0.20588235294117646,0.1726233892535862,0.03503694805431182,0.32230366492146595,0.05420054200542006,0.23399312331567698,0.24059415053961386,0.26409810277433504,0.1875,0.21082273377651398,0.2509443335301671,0.28959645932879474,0.3900592294070953,0.3194130925507901,0.14988290398126464,0.1663890784982935,0.477731673582296,0.34611246943765284,0.1901840490797546,0.1,0.21739130434782608,0.2558139534883721,0.2222222222222222,0.5062933716200048,0.2413793103448276,0.32479414455626715,0.008905358018523145,0.33775174441669975,0.08547008547008547,0.4103794427779735,0.26832022378196657,0.38966241825572945,0.09722222222222222,0.34911209694304857,0.260570864239939,0.40742374809878207,0.32533740769034886,0.6069868995633187,0.03257826418936116,0.020031621956551036,0.1200097286404225,0.20077154365462074,0.1564625850340136,0.06666666666666667,0.11864406779661017
7537,206360056,9,16,164,"{'20-30': 8, '10-20': 6.1, '0-10': 6.5}",,206360056,KR,9167,4546,19082,,"{'20-30': 991.4, '10-20': 860, '0-10': 505.4}",5,0,False,False,False,False,False,False,1525441350993,1813,3193708953,8.9.227.7511,12288,"{'20-30': 593.9, '10-20': 333.4, '0-10': 233.9}",11608,DIAMOND,1,3077,3052,3053,3078,2055,3047,3340,0,2,TOP,0,0,1,565,222,222,7773,11,/v1/stats/player_history/KR/206360056,28,4,20,0,8000,8400.0,136356,5957,14868,0,420,DUO_CARRY,11,0,12,4,38100682,KDM 유준,11,158697,6737,23568,1528,206,0,0,323,1,0,22118,557,925,1,0,35,7,6,18,True,,"{'20-30': 724.3, '10-20': 450.3, '0-10': 413.6}",Tank,Camille,4,8,Fighter,6,3,adc,0.2647058823529412,0.21739130434782608,0.1832416230483604,0.07692307692307693,0.1489193463363205,0.004644934510608026,0.22033561993310277,0.12962962962962962,0.16871002824701475,0.07543179861216634,0.23020468832254667,0.2037037037037037,0.17606472914142693,0.07626648553800872,0.22189165270115052,0.07589906616332208,0.20215897939156036,0.21809588116137746,0.4879114091590929,0.15201965065502182,0.14585304320403658,0.21084337349397592,0.2692307692307692,0.21176470588235294,0.20930232558139536,0.2777777777777778,0.2756640344580043,0.06896551724137931,0.2584629460201281,0.0005135037610680878,0.15999626613147885,0.11965811965811966,0.2640838421963416,0.0764374526837155,0.2464405647964494,0.05092592592592592,0.24645198649497488,0.045493092306536274,0.20396149961104854,0.02594007299889653,0.4388646288209607,0.020552303385085263,0.07270420322202098,0.019353045411903688,0.05247631474442616,0.1836734693877551,0.23333333333333334,0.1440677966101695
28915,206353515,8,17,39,"{'20-30': 7.6, '10-20': 10.2, '0-10': 7.6000000000000005}",,206353515,KR,8304,4644,19689,,"{'20-30': 835.7, '10-20': 806.7, '0-10': 371}",4,1,False,False,False,False,False,False,1525503571721,1956,3194343375,8.9.228.4283,15343,"{'20-30': 548.4, '10-20': 453.1, '0-10': 327.6}",13633,MASTER,0,3748,2033,1011,3078,3053,3111,3340,2,8,MIDDLE,0,3,2,807,27386,5423,5515,11,/v1/stats/player_history/KR/206353515,9,1,0,0,8000,8400.0,172346,10196,14911,0,420,DUO_CARRY,11,0,14,4,38120473,Morgan5358,15,203189,18985,24441,6792,272,0,0,54,1,0,3456,3365,4014,0,0,44,8,3,23,True,,"{'20-30': 554, '10-20': 617, '0-10': 403.1}",Assassin,Irelia,5,7,Fighter,4,5,adc,0.2,0.14285714285714285,0.21795582072590383,0.24242424242424243,0.25931876606683807,0.11603893104865534,0.19645910515816473,0.049723756906077346,0.2758988331457679,0.18542227395068014,0.18962535290078084,0.20833333333333334,0.22539915670415758,0.19472194301421566,0.20744355796978442,0.24864548250109825,0.25733207190160834,0.03890489913544669,0.08474950342087839,0.3378174882039956,0.36132865244396434,0.2543352601156069,0.32,0.26136363636363635,0.18604651162790697,0.2222222222222222,0.421871261067241,0.27586206896551724,0.36916742909423605,0.0633460090117597,0.10730204662668316,0.038461538461538464,0.3341405065336258,0.1308303286156057,0.24728501011370554,0.06944444444444445,0.31923124738274705,0.176970061294374,0.2140974584634676,0.11530430353959766,0.5829694323144105,0.003435988801221685,0.011360237197545189,0.11691741079184184,0.22771884041527202,0.24489795918367346,0.26666666666666666,0.1864406779661017
16939,1410285,13,18,39,"{'30-end': 9.2, '20-30': 5.5, '10-20': 8.3, '0-10': 5.8}",,1410285,KR,21875,7304,33809,,"{'30-end': 1775.8, '20-30': 1228.5, '10-20': 714.5, '0-10': 467.5}",7,0,False,True,False,False,False,False,1525692599986,2127,3197592625,8.9.228.4283,15856,"{'30-end': 738.6, '20-30': 431.6, '10-20': 442.20000000000005, '0-10': 256.6}",15708,MASTER,0,3078,3026,3143,3211,3053,3047,3340,1,6,TOP,0,2,1,483,50003,7483,9596,11,/v1/stats/player_history/KR/1410285,18,1,5,0,8000,8400.0,154523,13623,20303,0,420,DUO_CARRY,11,0,4,12,1990503,baramgaebi,26,211429,25385,32984,8271,244,0,0,237,1,0,6902,4278,3085,1,0,32,3,2,18,True,,"{'30-end': 1037.4, '20-30': 468.3, '10-20': 546.8, '0-10': 439.5}",Assassin,Irelia,5,7,Fighter,4,5,adc,0.21666666666666667,0.20588235294117646,0.2139204813750489,0.1935483870967742,0.13390629331854728,0.1631578947368421,0.18254798637928737,0.07627118644067797,0.22579099103838168,0.16739779555424486,0.2298253359142414,0.15757575757575756,0.18004453660218936,0.17664291479945446,0.2169771602989159,0.2278889072573979,0.22571692876965774,0.07581573896353166,0.037617589029747434,0.5441363520732638,0.27780279153534443,0.17582417582417584,0.17647058823529413,0.21176470588235294,0.3023255813953488,0.3888888888888889,0.44642258913615696,0.20689655172413793,0.22095150960658738,0.11566093948057475,0.2025390305943852,0.07692307692307693,0.29944698254131086,0.1748039983062374,0.3531745252449873,0.12037037037037036,0.332710099979062,0.24567128610839764,0.3132858851257997,0.14041252864782278,0.5218340611353712,0.015080173072028505,0.02268760333838452,0.14863972759806818,0.17501560106654565,0.16326530612244897,0.1,0.1440677966101695
257,2859056,13,18,126,"{'30-end': 2.2, '20-30': 9.4, '10-20': 7.1, '0-10': 7.7}",,2859056,KR,10441,6216,29534,,"{'30-end': 1760.4, '20-30': 1364.3, '10-20': 897.3, '0-10': 475.1}",10,0,False,True,False,False,False,False,1525750521072,2168,3198016412,8.9.228.4283,15675,"{'30-end': 299.2, '20-30': 584.8, '10-20': 342, '0-10': 358.6}",14475,MASTER,0,3142,3026,3047,3071,3133,3033,3340,1,5,TOP,0,2,1,402,21320,5402,5102,11,/v1/stats/player_history/KR/2859056,5,0,5,0,8200,8100.0,173026,27230,30345,0,420,DUO_CARRY,11,0,12,4,3697742,격세지감,10,199176,34346,36968,6557,265,0,0,291,1,0,4830,1712,1520,1,0,41,3,2,30,True,,"{'30-end': 312, '20-30': 707.6, '10-20': 441, '0-10': 468.9}",Marksman,Jayce,7,8,Fighter,4,3,adc,0.22807017543859648,0.2631578947368421,0.18994474334738984,0.10638297872340426,0.11349520045172219,0.17548769446044943,0.09848090026444303,0.021739130434782608,0.17491685116105096,0.2122882379998285,0.24312955692652832,0.12345679012345678,0.17308755183693048,0.2038217316479734,0.20484177513284682,0.1474013128315799,0.2308362369337979,0.18394437420986093,0.12062635798306735,0.17937971500419111,0.3944977939268103,0.21693121693121692,0.3,0.32967032967032966,0.3023255813953488,0.5555555555555556,0.4377602297200287,0.1724137931034483,0.1838975297346752,0.04931486570257492,0.09766399850645259,0.021367521367521368,0.33546416676561674,0.34940269205599683,0.5503819642190845,0.046296296296296294,0.3126668498743719,0.34186373541440795,0.35954208222549894,0.11131482896188778,0.5676855895196506,0.01851616187325019,0.015876720388930343,0.059483687154720126,0.08623134963408408,0.22448979591836735,0.1,0.2457627118644068
